region,split,n_months,mean_dry_frac,std_dry_frac,min_dry_frac,max_dry_frac,lag1_autocorr_dry_frac,months_dry_frac_ge_0_25,months_dry_frac_ge_0_50,months_dry_frac_ge_0_75,seasonal_cycle_std,seasonal_cycle_range,mean_pixels_per_month
cvalley,train,306,0.13296485289031218,0.2340444031691127,0.0,0.9976525821596244,0.1167254272536443,53,31,15,0.05963851602548584,0.19368950884795955,6815.490196078431
cvalley,validation,48,0.14254631533944886,0.2674833421551419,0.0,0.977112676056338,-0.058023932340564896,9,5,3,0.17695422978167927,0.496111486328203,6815.5
cvalley,test,63,0.1733907395935036,0.26859161247852437,0.0,0.9843016431924883,0.26800037497037255,17,8,4,0.15867789735432872,0.498650234741784,6815.523809523809
cvalley_basin_masked,train,306,0.12622656349279945,0.23918238759768376,0.0,1.0,0.09169221304482408,58,31,18,0.062063491624571615,0.17336513197784875,1903.0
cvalley_basin_masked,validation,48,0.13969171483622353,0.2746685128079992,0.0,0.9952706253284288,-0.06548493987829936,9,6,3,0.19596821890706947,0.5697582764056752,1903.0
cvalley_basin_masked,test,63,0.1808673022545855,0.27802968009934376,0.0,0.9868628481345244,0.27777832137472264,20,8,5,0.1709487965751599,0.5646873357856017,1903.0
horn_of_africa_country_masked,train,306,0.13499275844220376,0.12794533431391786,0.0,0.6689358789077356,0.23944128951684132,48,5,0,0.037885404458060615,0.12256854596183256,52723.751633986925
horn_of_africa_country_masked,validation,48,0.08374590276289133,0.09590032539948995,0.0,0.4498295315413739,0.028042156082853986,2,0,0,0.0404303270246252,0.11590571993610711,52724.666666666664
horn_of_africa_country_masked,test,63,0.11736224463496858,0.11394010100215038,0.0,0.5796660748687342,-0.06401484717329693,7,1,0,0.04520350684135396,0.1358733487832132,52718.8253968254
mediterranean_spain,train,306,0.14349902921564475,0.19419571857174783,0.0,0.9740657309536187,0.10843069069632494,60,21,6,0.01473745017187941,0.0453880365576779,17313.0
mediterranean_spain,validation,48,0.16853303875700343,0.22224168522307847,0.0,0.7084849535031479,0.1870355658812963,12,7,0,0.09202752582447103,0.24009414890544678,17313.0
mediterranean_spain,test,63,0.15578714591017484,0.22101251042987036,0.0,0.8129151504649685,0.08559816787207304,16,5,3,0.08096917047791974,0.2499624559579507,17313.0
mediterranean_spain_basin_masked,train,306,0.14198276565051696,0.1951420262751364,0.0,0.979242574804019,0.0997160885713471,61,21,8,0.01590241382019962,0.050216152402306743,9057.0
mediterranean_spain_basin_masked,validation,48,0.16530032019432483,0.20335935071872036,0.0,0.6756100253947224,0.19692943173012178,13,6,0,0.07930418259830156,0.22479849839902838,9057.0
mediterranean_spain_basin_masked,test,63,0.14393322011738702,0.21168818713275767,0.0,0.8096499944794082,0.10271040523223746,12,5,2,0.07979720805778358,0.2365684001324942,9057.0
mediterranean_spain_country_masked,train,306,0.14452362319397233,0.1977340094313035,0.0,0.9786361410381978,0.10633875213657865,60,24,6,0.01443253660631506,0.04461359526859035,16336.0
mediterranean_spain_country_masked,validation,48,0.1693779587006203,0.2253531123463249,0.0,0.7224534769833496,0.19396728798338683,11,7,0,0.09398338281066135,0.2428379040156709,16336.0
mediterranean_spain_country_masked,test,63,0.15737275158186032,0.22425539552615698,0.0,0.819539666993144,0.07656326092172573,17,5,3,0.08200647525670365,0.2470739471106758,16336.0
murray_darling_basin_masked,train,306,0.1468984485644862,0.17984934001737965,0.0,0.8098942205266678,0.16357170496034584,72,20,2,0.023812054712126433,0.06903361656798868,40367.0
murray_darling_basin_masked,validation,48,0.19952715089057893,0.21229166419572584,0.0,0.9174573290063666,-0.07514899258213203,15,4,1,0.10429764423218604,0.3194379072014269,40367.0
murray_darling_basin_masked,test,63,0.10855244402448802,0.16338580955455229,0.0,0.6732231773478337,0.055433246925390436,9,3,0,0.05137164568737028,0.15765930917168314,40367.0
southern_great_plains,train,306,0.15979082321187582,0.19042396286712343,0.0,0.920080971659919,0.18698492501146377,72,21,4,0.012883722580767283,0.03597477421364065,24700.0
southern_great_plains,validation,48,0.11936656545209177,0.14836556333245238,0.0,0.5474493927125506,0.16475301575954762,7,2,0,0.07513484203826158,0.21135627530364373,24700.0
southern_great_plains,test,63,0.20799434483645002,0.21185287517926935,0.0,0.8635627530364373,0.07148439265892587,20,6,1,0.12290581429687601,0.42397570850202426,24700.0
southern_great_plains_basin_masked,train,306,0.15865101188745678,0.19920451484378204,0.0,0.9375514827018122,0.19437764476268288,70,26,6,0.01276662515752539,0.03916003991889494,19424.0
southern_great_plains_basin_masked,validation,48,0.12262428782262495,0.15875251557092504,0.0,0.5960152388797364,0.1599713996682664,6,3,0,0.07455782953870502,0.2123017915980231,19424.0
southern_great_plains_basin_masked,test,63,0.2227460382835177,0.226627219784727,0.0,0.8327841845140033,0.07442656214368801,23,8,2,0.1362282085436021,0.45654859967051065,19424.0
