zone,index,index_lag_months,pearson_r,p_value,n_months,interpretation
0,nino34,0,0.09974754800614091,0.04301628635659671,412,positive means higher index values are associated with wetter SPI-12
0,nino34,1,0.13078324803812744,0.007861291356744104,412,positive means higher index values are associated with wetter SPI-12
0,nino34,3,0.18219280946129546,0.00020077505836824274,412,positive means higher index values are associated with wetter SPI-12
0,nino34,6,0.24304831452894615,5.93179801319389e-07,412,positive means higher index values are associated with wetter SPI-12
0,pdo,0,0.23731683890613212,1.3631080563869402e-06,405,positive means higher index values are associated with wetter SPI-12
0,pdo,1,0.2361302949539739,1.4985342525234446e-06,406,positive means higher index values are associated with wetter SPI-12
0,pdo,3,0.23789841046799245,1.170743587306498e-06,408,positive means higher index values are associated with wetter SPI-12
0,pdo,6,0.2541215801715649,1.768847790167677e-07,411,positive means higher index values are associated with wetter SPI-12
1,nino34,0,0.13470500074108815,0.006173949283525529,412,positive means higher index values are associated with wetter SPI-12
1,nino34,1,0.17414716841248018,0.00038342885082359897,412,positive means higher index values are associated with wetter SPI-12
1,nino34,3,0.23055276593344276,2.252344747923966e-06,412,positive means higher index values are associated with wetter SPI-12
1,nino34,6,0.28980195683457544,2.0529179073003062e-09,412,positive means higher index values are associated with wetter SPI-12
1,pdo,0,0.2277012188803323,3.6710825933544275e-06,405,positive means higher index values are associated with wetter SPI-12
1,pdo,1,0.23765641901106851,1.2760617131499762e-06,406,positive means higher index values are associated with wetter SPI-12
1,pdo,3,0.2620214210200024,7.854088743728365e-08,408,positive means higher index values are associated with wetter SPI-12
1,pdo,6,0.28806260844518816,2.7027262733727904e-09,411,positive means higher index values are associated with wetter SPI-12
2,nino34,0,0.2506258956900635,2.5473819255073846e-07,412,positive means higher index values are associated with wetter SPI-12
2,nino34,1,0.26126577894158115,7.417891105085181e-08,412,positive means higher index values are associated with wetter SPI-12
2,nino34,3,0.26232421715220117,6.541275529774415e-08,412,positive means higher index values are associated with wetter SPI-12
2,nino34,6,0.2421224212732984,6.564817369116211e-07,412,positive means higher index values are associated with wetter SPI-12
2,pdo,0,0.34638968290614586,7.355018526942949e-13,405,positive means higher index values are associated with wetter SPI-12
2,pdo,1,0.3395727995272392,2.0489516981606967e-12,406,positive means higher index values are associated with wetter SPI-12
2,pdo,3,0.3204375312254972,3.397072992501189e-11,408,positive means higher index values are associated with wetter SPI-12
2,pdo,6,0.3187785702734483,3.6816562072938765e-11,411,positive means higher index values are associated with wetter SPI-12
3,nino34,0,0.019988211819223764,0.6858273238356006,412,positive means higher index values are associated with wetter SPI-12
3,nino34,1,0.02988157064997283,0.5452973126826417,412,positive means higher index values are associated with wetter SPI-12
3,nino34,3,0.04311812385156388,0.3826907083069893,412,positive means higher index values are associated with wetter SPI-12
3,nino34,6,0.06953284038487695,0.15890022211259824,412,positive means higher index values are associated with wetter SPI-12
3,pdo,0,0.17221660901551522,0.0004993145620405259,405,positive means higher index values are associated with wetter SPI-12
3,pdo,1,0.16598486591846337,0.0007864797171716806,406,positive means higher index values are associated with wetter SPI-12
3,pdo,3,0.15408238178453185,0.001799791167406824,408,positive means higher index values are associated with wetter SPI-12
3,pdo,6,0.154591215198118,0.0016698571149202511,411,positive means higher index values are associated with wetter SPI-12
