zone,index,index_lag_months,pearson_r,p_value,n_months,interpretation
0,nino34,0,0.11048991885828946,0.024912461648676918,412,positive means higher index values are associated with wetter SPI-12
0,nino34,1,0.14564839263553103,0.003044845794565452,412,positive means higher index values are associated with wetter SPI-12
0,nino34,3,0.19553657039668468,6.454835236158734e-05,412,positive means higher index values are associated with wetter SPI-12
0,nino34,6,0.2542577479666276,1.6822485067542595e-07,412,positive means higher index values are associated with wetter SPI-12
0,pdo,0,0.24115397572956052,9.070909544255998e-07,405,positive means higher index values are associated with wetter SPI-12
0,pdo,1,0.24848303653319143,3.955027514111658e-07,406,positive means higher index values are associated with wetter SPI-12
0,pdo,3,0.2671593553639879,4.260158420642682e-08,408,positive means higher index values are associated with wetter SPI-12
0,pdo,6,0.2937627477999978,1.2645740444699965e-09,411,positive means higher index values are associated with wetter SPI-12
1,nino34,0,0.11162557189564304,0.023454221295377137,412,positive means higher index values are associated with wetter SPI-12
1,nino34,1,0.14837959523616723,0.0025331209258315514,412,positive means higher index values are associated with wetter SPI-12
1,nino34,3,0.21008837369975536,1.7122331040456067e-05,412,positive means higher index values are associated with wetter SPI-12
1,nino34,6,0.2816481138990154,5.968123506454056e-09,412,positive means higher index values are associated with wetter SPI-12
1,pdo,0,0.25650172669243887,1.6600445898529395e-07,405,positive means higher index values are associated with wetter SPI-12
1,pdo,1,0.25536000180758245,1.8260394029229768e-07,406,positive means higher index values are associated with wetter SPI-12
1,pdo,3,0.25630071811003796,1.5286842105188178e-07,408,positive means higher index values are associated with wetter SPI-12
1,pdo,6,0.27461363288070983,1.5182213377357785e-08,411,positive means higher index values are associated with wetter SPI-12
2,nino34,0,0.15122012720368427,0.0020851683752939054,412,positive means higher index values are associated with wetter SPI-12
2,nino34,1,0.1867518845532381,0.00013744174332221156,412,positive means higher index values are associated with wetter SPI-12
2,nino34,3,0.23468554328660407,1.460573307942389e-06,412,positive means higher index values are associated with wetter SPI-12
2,nino34,6,0.2810189161077122,6.471202094111057e-09,412,positive means higher index values are associated with wetter SPI-12
2,pdo,0,0.24529262247028022,5.801307956863913e-07,405,positive means higher index values are associated with wetter SPI-12
2,pdo,1,0.2574351791508448,1.439786737467265e-07,406,positive means higher index values are associated with wetter SPI-12
2,pdo,3,0.2837570735750542,5.39913862154583e-09,408,positive means higher index values are associated with wetter SPI-12
2,pdo,6,0.3011843341855708,4.5857798528675845e-10,411,positive means higher index values are associated with wetter SPI-12
3,nino34,0,0.0949902581397744,0.054030491030915735,412,positive means higher index values are associated with wetter SPI-12
3,nino34,1,0.11797870826875162,0.01658399365964953,412,positive means higher index values are associated with wetter SPI-12
3,nino34,3,0.15219536200555472,0.001948915104389201,412,positive means higher index values are associated with wetter SPI-12
3,nino34,6,0.1960757092378748,6.155474928616587e-05,412,positive means higher index values are associated with wetter SPI-12
3,pdo,0,0.21572531722115765,1.1887320636418747e-05,405,positive means higher index values are associated with wetter SPI-12
3,pdo,1,0.21380839586329026,1.3915817692872608e-05,406,positive means higher index values are associated with wetter SPI-12
3,pdo,3,0.21775523268081742,9.066527458649121e-06,408,positive means higher index values are associated with wetter SPI-12
3,pdo,6,0.2310316252903827,2.205053848278298e-06,411,positive means higher index values are associated with wetter SPI-12
