zone,index,index_lag_months,pearson_r,p_value,n_months,interpretation
0,nino34,0,0.2763931558440711,1.5524890410802628e-08,405,positive means higher index values are associated with wetter SPI-12
0,nino34,1,0.34793191594143325,5.365868084334035e-13,406,positive means higher index values are associated with wetter SPI-12
0,nino34,3,0.46272403834008613,4.856300175475614e-23,408,positive means higher index values are associated with wetter SPI-12
0,nino34,6,0.5422650454980925,8.574287010652632e-33,411,positive means higher index values are associated with wetter SPI-12
0,soi,0,-0.18299643378146085,0.00021334840141734945,405,positive means higher index values are associated with wetter SPI-12
0,soi,1,-0.2426490608921093,7.485939137860724e-07,406,positive means higher index values are associated with wetter SPI-12
0,soi,3,-0.3571920707805364,1.0096843516314795e-13,408,positive means higher index values are associated with wetter SPI-12
0,soi,6,-0.4479633559802533,1.1163968560058193e-21,411,positive means higher index values are associated with wetter SPI-12
0,pdo,0,0.05368279274134631,0.28113036955149695,405,positive means higher index values are associated with wetter SPI-12
0,pdo,1,0.07735610082052144,0.11965836310436137,406,positive means higher index values are associated with wetter SPI-12
0,pdo,3,0.1295293971741016,0.008808928117532656,408,positive means higher index values are associated with wetter SPI-12
0,pdo,6,0.1598782543537357,0.0011447259067240876,411,positive means higher index values are associated with wetter SPI-12
1,nino34,0,-0.28875532303814366,3.2254500042932203e-09,405,positive means higher index values are associated with wetter SPI-12
1,nino34,1,-0.26716279072848026,4.596401352370531e-08,406,positive means higher index values are associated with wetter SPI-12
1,nino34,3,-0.181058122556818,0.00023654495956868419,408,positive means higher index values are associated with wetter SPI-12
1,nino34,6,0.017589030018309006,0.7221953756082842,411,positive means higher index values are associated with wetter SPI-12
1,soi,0,0.22278490384868901,5.993544566562738e-06,405,positive means higher index values are associated with wetter SPI-12
1,soi,1,0.2069969171991889,2.626715255698294e-05,406,positive means higher index values are associated with wetter SPI-12
1,soi,3,0.14915913344489518,0.002523264183579063,408,positive means higher index values are associated with wetter SPI-12
1,soi,6,-0.01929792610988196,0.6964816441157153,411,positive means higher index values are associated with wetter SPI-12
1,pdo,0,-0.18392728525781898,0.00019778870383579174,405,positive means higher index values are associated with wetter SPI-12
1,pdo,1,-0.17423822469887373,0.0004203063212573251,406,positive means higher index values are associated with wetter SPI-12
1,pdo,3,-0.1295733856394223,0.008785786225222757,408,positive means higher index values are associated with wetter SPI-12
1,pdo,6,-0.035539083235429564,0.4724359211534496,411,positive means higher index values are associated with wetter SPI-12
2,nino34,0,-0.15932826890918647,0.0012950092737206158,405,positive means higher index values are associated with wetter SPI-12
2,nino34,1,-0.1581333265478001,0.0013905284604294728,406,positive means higher index values are associated with wetter SPI-12
2,nino34,3,-0.1551308205783147,0.0016727001008303476,408,positive means higher index values are associated with wetter SPI-12
2,nino34,6,-0.12448918410852561,0.011539162657152005,411,positive means higher index values are associated with wetter SPI-12
2,soi,0,0.15232885503326782,0.002111793380342491,405,positive means higher index values are associated with wetter SPI-12
2,soi,1,0.15793606288280115,0.001410120558710778,406,positive means higher index values are associated with wetter SPI-12
2,soi,3,0.15001185940811176,0.0023815150343646225,408,positive means higher index values are associated with wetter SPI-12
2,soi,6,0.10743747820823263,0.029423328882924794,411,positive means higher index values are associated with wetter SPI-12
2,pdo,0,-0.16776304492250674,0.0006994727313200887,405,positive means higher index values are associated with wetter SPI-12
2,pdo,1,-0.1527060506772236,0.002031619073534695,406,positive means higher index values are associated with wetter SPI-12
2,pdo,3,-0.11258974723692014,0.022938320447015496,408,positive means higher index values are associated with wetter SPI-12
2,pdo,6,-0.05230395761516533,0.29011930291342214,411,positive means higher index values are associated with wetter SPI-12
3,nino34,0,0.06104239637366009,0.22027358052063684,405,positive means higher index values are associated with wetter SPI-12
3,nino34,1,0.12202461841918474,0.013880241077217388,406,positive means higher index values are associated with wetter SPI-12
3,nino34,3,0.23416257576560323,1.7357151461302178e-06,408,positive means higher index values are associated with wetter SPI-12
3,nino34,6,0.3557152608523404,1.0533497831941933e-13,411,positive means higher index values are associated with wetter SPI-12
3,soi,0,0.005404142439400289,0.9136618110112315,405,positive means higher index values are associated with wetter SPI-12
3,soi,1,-0.04508447686461704,0.3648898143004533,406,positive means higher index values are associated with wetter SPI-12
3,soi,3,-0.1433059291876273,0.003722789561408784,408,positive means higher index values are associated with wetter SPI-12
3,soi,6,-0.2570302617454656,1.2641276077314702e-07,411,positive means higher index values are associated with wetter SPI-12
3,pdo,0,-0.12179870233850265,0.014178318546116026,405,positive means higher index values are associated with wetter SPI-12
3,pdo,1,-0.10949503435132604,0.027377107940271723,406,positive means higher index values are associated with wetter SPI-12
3,pdo,3,-0.05354237098109537,0.2806060662945298,408,positive means higher index values are associated with wetter SPI-12
3,pdo,6,0.006413450797680503,0.8968622591571388,411,positive means higher index values are associated with wetter SPI-12
