zone,index,index_lag_months,pearson_r,p_value,n_months,interpretation
0,nino34,0,-0.007141665482919703,0.8860683783743425,405,positive means higher index values are associated with wetter SPI-12
0,nino34,1,-0.002708774015163792,0.9566068367162208,406,positive means higher index values are associated with wetter SPI-12
0,nino34,3,-0.00671938661618152,0.8923667214150934,408,positive means higher index values are associated with wetter SPI-12
0,nino34,6,-0.015984817071864832,0.746622520856851,411,positive means higher index values are associated with wetter SPI-12
0,soi,0,0.12431931402571642,0.012284469706529693,405,positive means higher index values are associated with wetter SPI-12
0,soi,1,0.10328082348519664,0.03750714641757254,406,positive means higher index values are associated with wetter SPI-12
0,soi,3,0.0869571060908339,0.079364892974936,408,positive means higher index values are associated with wetter SPI-12
0,soi,6,0.0764826416002114,0.12160091919386633,411,positive means higher index values are associated with wetter SPI-12
0,pdo,0,0.048127390635520254,0.33398844371421593,405,positive means higher index values are associated with wetter SPI-12
0,pdo,1,0.06783351362033865,0.17251564143961437,406,positive means higher index values are associated with wetter SPI-12
0,pdo,3,0.09455170560235018,0.056356540951913545,408,positive means higher index values are associated with wetter SPI-12
0,pdo,6,0.07372365655972313,0.13567589612300465,411,positive means higher index values are associated with wetter SPI-12
1,nino34,0,0.043870506945725106,0.37854944764073034,405,positive means higher index values are associated with wetter SPI-12
1,nino34,1,0.06443458642154003,0.19509102018272548,406,positive means higher index values are associated with wetter SPI-12
1,nino34,3,0.09436964066729503,0.05683503104877362,408,positive means higher index values are associated with wetter SPI-12
1,nino34,6,0.0815438639188392,0.09876612453593278,411,positive means higher index values are associated with wetter SPI-12
1,soi,0,0.06607209213023271,0.18450343794385587,405,positive means higher index values are associated with wetter SPI-12
1,soi,1,0.04389532147059558,0.3776878517213201,406,positive means higher index values are associated with wetter SPI-12
1,soi,3,0.02555519909447164,0.6067696022745129,408,positive means higher index values are associated with wetter SPI-12
1,soi,6,0.016177887103252707,0.7436686448862037,411,positive means higher index values are associated with wetter SPI-12
1,pdo,0,-0.03912773047932389,0.43227924831331876,405,positive means higher index values are associated with wetter SPI-12
1,pdo,1,-0.031900162588423785,0.5215539823770152,406,positive means higher index values are associated with wetter SPI-12
1,pdo,3,-0.030476535162064233,0.5393146117334647,408,positive means higher index values are associated with wetter SPI-12
1,pdo,6,-0.0717401870508976,0.14654605482687327,411,positive means higher index values are associated with wetter SPI-12
2,nino34,0,0.1099545021159001,0.02692073302252839,405,positive means higher index values are associated with wetter SPI-12
2,nino34,1,0.11777220336898449,0.01759679554932703,406,positive means higher index values are associated with wetter SPI-12
2,nino34,3,0.10353757103305875,0.03656738833349066,408,positive means higher index values are associated with wetter SPI-12
2,nino34,6,0.020949033810310175,0.6719629023679248,411,positive means higher index values are associated with wetter SPI-12
2,soi,0,0.05786598936799037,0.2452740432483133,405,positive means higher index values are associated with wetter SPI-12
2,soi,1,0.03167145330983634,0.5245455951541748,406,positive means higher index values are associated with wetter SPI-12
2,soi,3,0.018819610491368734,0.7046843106497402,408,positive means higher index values are associated with wetter SPI-12
2,soi,6,0.05678067572869051,0.250744385783746,411,positive means higher index values are associated with wetter SPI-12
2,pdo,0,-0.03442714533844283,0.48963068073308214,405,positive means higher index values are associated with wetter SPI-12
2,pdo,1,-0.016322642613551434,0.7429873150201406,406,positive means higher index values are associated with wetter SPI-12
2,pdo,3,0.013646370413811802,0.7834619998287091,408,positive means higher index values are associated with wetter SPI-12
2,pdo,6,0.005364130638499511,0.9136646634589669,411,positive means higher index values are associated with wetter SPI-12
3,nino34,0,0.12754603668578426,0.010187984801912527,405,positive means higher index values are associated with wetter SPI-12
3,nino34,1,0.13056401456166322,0.00843942621757075,406,positive means higher index values are associated with wetter SPI-12
3,nino34,3,0.1360775693710821,0.005904903930153689,408,positive means higher index values are associated with wetter SPI-12
3,nino34,6,0.10422202368922409,0.03466695402973692,411,positive means higher index values are associated with wetter SPI-12
3,soi,0,-0.06005702316133962,0.22782618125842682,405,positive means higher index values are associated with wetter SPI-12
3,soi,1,-0.07157726167338749,0.14996864521185832,406,positive means higher index values are associated with wetter SPI-12
3,soi,3,-0.09193983201837677,0.06354952086438415,408,positive means higher index values are associated with wetter SPI-12
3,soi,6,-0.08634774862426765,0.08038181492220149,411,positive means higher index values are associated with wetter SPI-12
3,pdo,0,0.18650815861549158,0.00016002183439737226,405,positive means higher index values are associated with wetter SPI-12
3,pdo,1,0.17361676777556523,0.00044104848481842297,406,positive means higher index values are associated with wetter SPI-12
3,pdo,3,0.15214474382954418,0.0020581941371465773,408,positive means higher index values are associated with wetter SPI-12
3,pdo,6,0.08213908388125296,0.09632121683096062,411,positive means higher index values are associated with wetter SPI-12
