zone,run_id,start_time,end_time,duration_months,severity_threshold_deficit,mean_intensity,minimum_spi12
0,1,1995-01-01,1995-11-01,11,5.723207354545593,0.520291577685963,-1.8000773191452026
0,2,1999-01-01,1999-09-01,9,2.9368375539779663,0.3263152837753296,-1.4974795579910278
0,3,2000-02-01,2000-03-01,2,0.22789442539215088,0.11394721269607544,-1.1549793481826782
0,4,2005-04-01,2006-01-01,10,4.4777222871780396,0.447772228717804,-1.7581101655960083
0,5,2012-03-01,2012-09-01,7,3.900402307510376,0.5572003296443394,-1.7702546119689941
0,6,2015-11-01,2016-04-01,6,1.2169749736785889,0.2028291622797648,-1.424822211265564
0,7,2018-02-01,2018-02-01,1,0.012337088584899902,0.012337088584899902,-1.0123370885849
0,8,2019-10-01,2019-11-01,2,0.6986042261123657,0.34930211305618286,-1.357892394065857
0,9,2022-01-01,2022-02-01,2,0.39895617961883545,0.19947808980941772,-1.285419225692749
0,10,2023-04-01,2023-04-01,1,0.36327457427978516,0.36327457427978516,-1.3632745742797852
0,11,2023-12-01,2024-01-01,2,0.38575685024261475,0.19287842512130737,-1.3518825769424438
1,1,1992-04-01,1992-04-01,1,0.23941993713378906,0.23941993713378906,-1.239419937133789
1,2,1993-07-01,1994-01-01,7,1.7945138216018677,0.25635911737169537,-1.4452306032180786
1,3,1995-10-01,1995-12-01,3,1.1777796745300293,0.3925932248433431,-1.6837849617004395
1,4,1998-12-01,1999-02-01,3,0.7124272584915161,0.23747575283050537,-1.3731144666671753
1,5,2002-01-01,2002-05-01,5,2.0783458948135376,0.4156691789627075,-1.6627781391143799
1,6,2005-02-01,2006-01-01,12,6.44804847240448,0.5373373727003733,-2.155883312225342
1,7,2012-03-01,2012-03-01,1,0.3153800964355469,0.3153800964355469,-1.3153800964355469
1,8,2012-05-01,2012-09-01,5,1.8386732339859009,0.36773464679718015,-1.477533221244812
1,9,2017-04-01,2017-05-01,2,0.42369258403778076,0.21184629201889038,-1.2878190279006958
1,10,2017-11-01,2017-11-01,1,0.022949695587158203,0.022949695587158203,-1.0229496955871582
1,11,2019-06-01,2019-10-01,5,0.43425464630126953,0.08685092926025391,-1.2067075967788696
2,1,1995-04-01,1995-06-01,3,0.4846677780151367,0.16155592600504556,-1.3204549551010132
2,2,1995-09-01,1995-12-01,4,2.805881142616272,0.701470285654068,-2.3049817085266113
2,3,1998-12-01,1999-02-01,3,1.1075575351715088,0.3691858450571696,-1.627360463142395
2,4,1999-04-01,1999-06-01,3,0.18889689445495605,0.06296563148498535,-1.1364129781723022
2,5,2000-01-01,2000-10-01,10,4.063720464706421,0.40637204647064207,-1.8382169008255005
2,6,2005-04-01,2005-12-01,9,5.03480589389801,0.5594228770997789,-1.8021241426467896
2,7,2012-05-01,2012-09-01,5,1.0404012203216553,0.20808024406433107,-1.2954885959625244
2,8,2016-08-01,2016-10-01,3,0.726671576499939,0.242223858833313,-1.3433781862258911
2,9,2018-01-01,2018-04-01,4,1.3004605770111084,0.3251151442527771,-1.44551682472229
2,10,2023-04-01,2023-04-01,1,0.11469542980194092,0.11469542980194092,-1.114695429801941
2,11,2024-06-01,2024-07-01,2,0.3381376266479492,0.1690688133239746,-1.1853492259979248
2,12,2024-09-01,2024-09-01,1,0.266745924949646,0.266745924949646,-1.266745924949646
2,13,2025-02-01,2025-02-01,1,0.023551225662231445,0.023551225662231445,-1.0235512256622314
3,1,1993-07-01,1993-08-01,2,0.15012824535369873,0.07506412267684937,-1.104870319366455
3,2,1993-10-01,1993-10-01,1,0.03206336498260498,0.03206336498260498,-1.032063364982605
3,3,1993-12-01,1993-12-01,1,0.08889281749725342,0.08889281749725342,-1.0888928174972534
3,4,1995-09-01,1995-12-01,4,4.310745120048523,1.0776862800121307,-2.5931127071380615
3,5,1998-12-01,1999-05-01,6,2.1045340299606323,0.3507556716601054,-1.7010644674301147
3,6,2002-01-01,2002-04-01,4,0.16547322273254395,0.041368305683135986,-1.0721017122268677
3,7,2005-02-01,2005-10-01,9,2.588356375694275,0.28759515285491943,-1.702943205833435
3,8,2008-04-01,2008-04-01,1,0.40655267238616943,0.40655267238616943,-1.4065526723861694
3,9,2011-09-01,2011-10-01,2,0.6055912971496582,0.3027956485748291,-1.4910285472869873
3,10,2012-01-01,2012-09-01,9,4.277199983596802,0.4752444426218669,-1.9942322969436646
3,11,2016-08-01,2016-10-01,3,1.1170973777770996,0.3723657925923665,-1.5374314785003662
3,12,2017-05-01,2017-05-01,1,0.2789069414138794,0.2789069414138794,-1.2789069414138794
3,13,2017-11-01,2018-01-01,3,0.6619387865066528,0.22064626216888428,-1.4499092102050781
3,14,2022-02-01,2022-02-01,1,0.29569125175476074,0.29569125175476074,-1.2956912517547607
3,15,2023-04-01,2024-02-01,11,3.2020554542541504,0.29109595038674096,-1.5687774419784546
