time,zone,n_pixels,spi12_mean
1991-01-01,0,3003,
1991-02-01,0,3003,
1991-03-01,0,3003,
1991-04-01,0,3003,
1991-05-01,0,3003,
1991-06-01,0,3003,
1991-07-01,0,3003,
1991-08-01,0,3003,
1991-09-01,0,3003,
1991-10-01,0,3003,
1991-11-01,0,3003,
1991-12-01,0,3003,-0.004189825616776943
1992-01-01,0,3003,0.12989230453968048
1992-02-01,0,3003,-0.0753650963306427
1992-03-01,0,3003,-0.6482422351837158
1992-04-01,0,3003,-0.5232213139533997
1992-05-01,0,3003,-0.4155503511428833
1992-06-01,0,3003,-0.021125467494130135
1992-07-01,0,3003,-0.03305770084261894
1992-08-01,0,3003,-0.037561748176813126
1992-09-01,0,3003,-0.23180559277534485
1992-10-01,0,3003,-0.3071564733982086
1992-11-01,0,3003,-0.5098135471343994
1992-12-01,0,3003,-0.7312986254692078
1993-01-01,0,3003,-0.8699659705162048
1993-02-01,0,3003,-0.9258432984352112
1993-03-01,0,3003,-0.8069524168968201
1993-04-01,0,3003,-0.7700598835945129
1993-05-01,0,3003,-0.40152284502983093
1993-06-01,0,3003,-0.8283259868621826
1993-07-01,0,3003,-0.8500244617462158
1993-08-01,0,3003,-0.8382319211959839
1993-09-01,0,3003,-0.9042419195175171
1993-10-01,0,3003,-0.6704415082931519
1993-11-01,0,3003,-0.32229602336883545
1993-12-01,0,3003,-0.5090546607971191
1994-01-01,0,3003,-0.4228350520133972
1994-02-01,0,3003,-0.11305472254753113
1994-03-01,0,3003,-0.24164743721485138
1994-04-01,0,3003,-0.2826855480670929
1994-05-01,0,3003,-0.40160655975341797
1994-06-01,0,3003,-0.4341541528701782
1994-07-01,0,3003,-0.4224909245967865
1994-08-01,0,3003,-0.4595866799354553
1994-09-01,0,3003,-0.41952642798423767
1994-10-01,0,3003,-0.6439473032951355
1994-11-01,0,3003,-0.6782041788101196
1994-12-01,0,3003,-0.7210484147071838
1995-01-01,0,3003,-1.2353123426437378
1995-02-01,0,3003,-1.5465130805969238
1995-03-01,0,3003,-1.3460142612457275
1995-04-01,0,3003,-1.5306588411331177
1995-05-01,0,3003,-1.7380403280258179
1995-06-01,0,3003,-1.5174239873886108
1995-07-01,0,3003,-1.481887936592102
1995-08-01,0,3003,-1.3513188362121582
1995-09-01,0,3003,-1.4298515319824219
1995-10-01,0,3003,-1.8000752925872803
1995-11-01,0,3003,-1.7461063861846924
1995-12-01,0,3003,-0.49330705404281616
1996-01-01,0,3003,1.283390998840332
1996-02-01,0,3003,1.4017961025238037
1996-03-01,0,3003,1.429257869720459
1996-04-01,0,3003,1.45592200756073
1996-05-01,0,3003,1.6757982969284058
1996-06-01,0,3003,1.5868399143218994
1996-07-01,0,3003,1.5784722566604614
1996-08-01,0,3003,1.519084095954895
1996-09-01,0,3003,1.703790307044983
1996-10-01,0,3003,1.7103981971740723
1996-11-01,0,3003,1.7095757722854614
1996-12-01,0,3003,2.3826751708984375
1997-01-01,0,3003,2.2370734214782715
1997-02-01,0,3003,1.852279543876648
1997-03-01,0,3003,1.6277635097503662
1997-04-01,0,3003,1.6947686672210693
1997-05-01,0,3003,1.5118160247802734
1997-06-01,0,3003,1.5982540845870972
1997-07-01,0,3003,1.6057300567626953
1997-08-01,0,3003,1.6528689861297607
1997-09-01,0,3003,1.8354779481887817
1997-10-01,0,3003,1.9715542793273926
1997-11-01,0,3003,2.1759018898010254
1997-12-01,0,3003,1.724039912223816
1998-01-01,0,3003,0.9032668471336365
1998-02-01,0,3003,1.1682848930358887
1998-03-01,0,3003,1.244933009147644
1998-04-01,0,3003,1.1261231899261475
1998-05-01,0,3003,1.1222227811813354
1998-06-01,0,3003,1.0500857830047607
1998-07-01,0,3003,1.0186835527420044
1998-08-01,0,3003,0.9609998464584351
1998-09-01,0,3003,0.71968013048172
1998-10-01,0,3003,0.5048956871032715
1998-11-01,0,3003,-0.07341925799846649
1998-12-01,0,3003,-0.8269655108451843
1999-01-01,0,3003,-1.0454697608947754
1999-02-01,0,3003,-1.283448576927185
1999-03-01,0,3003,-1.0920312404632568
1999-04-01,0,3003,-1.1722064018249512
1999-05-01,0,3003,-1.4255129098892212
1999-06-01,0,3003,-1.4804630279541016
1999-07-01,0,3003,-1.4593868255615234
1999-08-01,0,3003,-1.4808350801467896
1999-09-01,0,3003,-1.497480034828186
1999-10-01,0,3003,-0.45536333322525024
1999-11-01,0,3003,-0.4225156903266907
1999-12-01,0,3003,-0.5797392129898071
2000-01-01,0,3003,-0.9992056488990784
2000-02-01,0,3003,-1.0729154348373413
2000-03-01,0,3003,-1.1549787521362305
2000-04-01,0,3003,-0.5232421159744263
2000-05-01,0,3003,-0.1971605271100998
2000-06-01,0,3003,-0.21081452071666718
2000-07-01,0,3003,-0.2195950448513031
2000-08-01,0,3003,-0.2140296846628189
2000-09-01,0,3003,-0.2902314066886902
2000-10-01,0,3003,-0.784006655216217
2000-11-01,0,3003,-0.5530068278312683
2000-12-01,0,3003,0.22544969618320465
2001-01-01,0,3003,0.7219743132591248
2001-02-01,0,3003,0.818797767162323
2001-03-01,0,3003,1.1363974809646606
2001-04-01,0,3003,0.6534041166305542
2001-05-01,0,3003,0.4354587495326996
2001-06-01,0,3003,0.3853132128715515
2001-07-01,0,3003,0.41714757680892944
2001-08-01,0,3003,0.42767930030822754
2001-09-01,0,3003,0.5697514414787292
2001-10-01,0,3003,0.6265621781349182
2001-11-01,0,3003,0.6047497987747192
2001-12-01,0,3003,-0.023027991876006126
2002-01-01,0,3003,-0.57361900806427
2002-02-01,0,3003,-0.533052384853363
2002-03-01,0,3003,-0.4673236906528473
2002-04-01,0,3003,-0.042189404368400574
2002-05-01,0,3003,-0.19358256459236145
2002-06-01,0,3003,-0.07767105102539062
2002-07-01,0,3003,-0.11636713147163391
2002-08-01,0,3003,-0.0968303233385086
2002-09-01,0,3003,-0.12059848755598068
2002-10-01,0,3003,-0.3997839391231537
