zone,index,index_lag_months,pearson_r,p_value,n_months,interpretation
0,nino34,0,-0.4371366328231836,1.1749693599408516e-20,412,positive means higher index values are associated with wetter SPI-12
0,nino34,1,-0.4544839023625304,2.161154704203365e-22,412,positive means higher index values are associated with wetter SPI-12
0,nino34,3,-0.44629841306000484,1.4652848732857505e-21,412,positive means higher index values are associated with wetter SPI-12
0,nino34,6,-0.33436345867522765,3.2201312958110365e-12,412,positive means higher index values are associated with wetter SPI-12
0,pdo,0,-0.3395845499669734,2.1769635417122255e-12,405,positive means higher index values are associated with wetter SPI-12
0,pdo,1,-0.32482439122981555,1.978582749328168e-11,406,positive means higher index values are associated with wetter SPI-12
0,pdo,3,-0.26414531271948466,6.108801589136212e-08,408,positive means higher index values are associated with wetter SPI-12
0,pdo,6,-0.18052950964284536,0.00023412797383957448,411,positive means higher index values are associated with wetter SPI-12
1,nino34,0,-0.18564926934185783,0.0001507591965000846,412,positive means higher index values are associated with wetter SPI-12
1,nino34,1,-0.19899911137960957,4.7474697125314106e-05,412,positive means higher index values are associated with wetter SPI-12
1,nino34,3,-0.20502018276466738,2.7475628465940537e-05,412,positive means higher index values are associated with wetter SPI-12
1,nino34,6,-0.14975769927276836,0.0023058576515812314,412,positive means higher index values are associated with wetter SPI-12
1,pdo,0,-0.061371082846660874,0.21779454414555827,405,positive means higher index values are associated with wetter SPI-12
1,pdo,1,-0.04243637289818853,0.39376073413154483,406,positive means higher index values are associated with wetter SPI-12
1,pdo,3,-0.004213968205552671,0.9323749060505208,408,positive means higher index values are associated with wetter SPI-12
1,pdo,6,0.03909627447366485,0.4292402954071839,411,positive means higher index values are associated with wetter SPI-12
2,nino34,0,-0.3237798836711483,1.6472024897433257e-11,412,positive means higher index values are associated with wetter SPI-12
2,nino34,1,-0.34285020055858134,8.307011031775776e-13,412,positive means higher index values are associated with wetter SPI-12
2,nino34,3,-0.35145554239704896,2.0148375406269665e-13,412,positive means higher index values are associated with wetter SPI-12
2,nino34,6,-0.2665008763254796,3.9608656240354457e-08,412,positive means higher index values are associated with wetter SPI-12
2,pdo,0,-0.2422178555179005,8.092481747006179e-07,405,positive means higher index values are associated with wetter SPI-12
2,pdo,1,-0.23074765958357618,2.61875362291657e-06,406,positive means higher index values are associated with wetter SPI-12
2,pdo,3,-0.20449927861878503,3.15366956311441e-05,408,positive means higher index values are associated with wetter SPI-12
2,pdo,6,-0.13634673765241823,0.005628076015205102,411,positive means higher index values are associated with wetter SPI-12
3,nino34,0,-0.3756703798013904,2.948412579841265e-15,412,positive means higher index values are associated with wetter SPI-12
3,nino34,1,-0.3769230587310252,2.3464382423804208e-15,412,positive means higher index values are associated with wetter SPI-12
3,nino34,3,-0.3486985934325125,3.187081337081612e-13,412,positive means higher index values are associated with wetter SPI-12
3,nino34,6,-0.23527824672463193,1.3717029227337575e-06,412,positive means higher index values are associated with wetter SPI-12
3,pdo,0,-0.3570456171758205,1.2744536114018568e-13,405,positive means higher index values are associated with wetter SPI-12
3,pdo,1,-0.34540430792983867,8.080317414171767e-13,406,positive means higher index values are associated with wetter SPI-12
3,pdo,3,-0.3012397358579776,5.267151790995409e-10,408,positive means higher index values are associated with wetter SPI-12
3,pdo,6,-0.23044518044701856,2.3432900761412416e-06,411,positive means higher index values are associated with wetter SPI-12
