zone,run_id,start_time,end_time,duration_months,severity_threshold_deficit,mean_intensity,minimum_spi12
0,1,1994-09-01,1994-10-01,2,0.3875150680541992,0.1937575340270996,-1.26470148563385
0,2,1994-12-01,1994-12-01,1,0.34853947162628174,0.34853947162628174,-1.3485394716262817
0,3,2002-06-01,2003-06-01,13,5.29069709777832,0.40697669982910156,-1.834153652191162
0,4,2006-11-01,2007-05-01,7,1.355872631072998,0.19369609015328543,-1.325231671333313
0,5,2014-02-01,2014-02-01,1,0.3346884250640869,0.3346884250640869,-1.334688425064087
0,6,2014-05-01,2014-11-01,7,1.2222368717193604,0.17460526738848006,-1.3735125064849854
0,7,2018-06-01,2018-07-01,2,0.14688146114349365,0.07344073057174683,-1.0846483707427979
0,8,2018-12-01,2020-01-01,14,10.27313220500946,0.7337951575006757,-2.5464911460876465
0,9,2023-10-01,2023-10-01,1,0.6838849782943726,0.6838849782943726,-1.6838849782943726
1,1,1995-03-01,1995-03-01,1,0.013185739517211914,0.013185739517211914,-1.013185739517212
1,2,2002-09-01,2003-01-01,5,2.5447704792022705,0.5089540958404541,-1.7470825910568237
1,3,2003-03-01,2003-03-01,1,0.0671917200088501,0.0671917200088501,-1.06719172000885
1,4,2003-05-01,2003-07-01,3,0.9769196510314941,0.32563988367716473,-1.4407627582550049
1,5,2004-04-01,2004-05-01,2,0.03128695487976074,0.01564347743988037,-1.0187733173370361
1,6,2004-08-01,2004-08-01,1,0.08367109298706055,0.08367109298706055,-1.0836710929870605
1,7,2004-10-01,2004-10-01,1,0.024262309074401855,0.024262309074401855,-1.0242623090744019
1,8,2006-09-01,2007-03-01,7,2.6973477602005005,0.3853353943143572,-1.7410935163497925
1,9,2008-04-01,2008-07-01,4,1.317253828048706,0.3293134570121765,-1.6453903913497925
1,10,2019-11-01,2020-03-01,5,1.1622869968414307,0.23245739936828613,-1.491072416305542
1,11,2025-06-01,2025-06-01,1,0.04987144470214844,0.04987144470214844,-1.0498714447021484
1,12,2025-08-01,2025-08-01,1,0.021375060081481934,0.021375060081481934,-1.021375060081482
1,13,2025-10-01,2026-01-01,4,1.0343059301376343,0.25857648253440857,-1.3982012271881104
2,1,1994-12-01,1994-12-01,1,0.13272905349731445,0.13272905349731445,-1.1327290534973145
2,2,2002-08-01,2003-09-01,14,9.187440752983093,0.656245768070221,-2.16013503074646
2,3,2005-05-01,2005-05-01,1,0.18642449378967285,0.18642449378967285,-1.1864244937896729
2,4,2006-09-01,2007-04-01,8,5.213543176651001,0.6516928970813751,-1.9481313228607178
2,5,2007-07-01,2007-09-01,3,0.3863712549209595,0.12879041830698648,-1.1777323484420776
2,6,2017-09-01,2017-09-01,1,0.15891742706298828,0.15891742706298828,-1.1589174270629883
2,7,2018-08-01,2018-08-01,1,0.04190552234649658,0.04190552234649658,-1.0419055223464966
2,8,2018-12-01,2019-02-01,3,0.30271852016448975,0.10090617338816325,-1.137079119682312
2,9,2019-10-01,2020-02-01,5,1.4843083620071411,0.29686167240142824,-1.483021855354309
3,1,2002-07-01,2003-09-01,15,6.6759443283081055,0.44506295522054035,-2.0197701454162598
3,2,2005-03-01,2005-05-01,3,1.1586562395095825,0.38621874650319415,-1.5234482288360596
3,3,2006-06-01,2006-12-01,7,2.5465513467788696,0.36379304953983854,-1.7197922468185425
3,4,2007-02-01,2007-02-01,1,0.024410605430603027,0.024410605430603027,-1.024410605430603
3,5,2013-10-01,2013-10-01,1,0.00728607177734375,0.00728607177734375,-1.0072860717773438
3,6,2013-12-01,2014-01-01,2,0.28402531147003174,0.14201265573501587,-1.2111401557922363
3,7,2014-06-01,2014-07-01,2,0.1425025463104248,0.0712512731552124,-1.1229323148727417
3,8,2017-09-01,2017-09-01,1,0.2442457675933838,0.2442457675933838,-1.2442457675933838
3,9,2018-01-01,2020-01-01,25,5.642614483833313,0.22570457935333252,-1.6516764163970947
3,10,2023-10-01,2023-10-01,1,0.1599198579788208,0.1599198579788208,-1.1599198579788208
