zone,index,index_lag_months,pearson_r,p_value,n_months,interpretation
0,nino34,0,0.32520127134204535,1.979844579076313e-11,405,positive means higher index values are associated with wetter SPI-12
0,nino34,1,0.3589956100665528,8.558706600541035e-14,406,positive means higher index values are associated with wetter SPI-12
0,nino34,3,0.39884831609384624,5.204131394554397e-17,408,positive means higher index values are associated with wetter SPI-12
0,nino34,6,0.3901550872051631,2.1511987483309831e-16,411,positive means higher index values are associated with wetter SPI-12
0,soi,0,-0.351156410810248,3.3853077239409614e-13,405,positive means higher index values are associated with wetter SPI-12
0,soi,1,-0.3785286027818958,2.800684230566756e-15,406,positive means higher index values are associated with wetter SPI-12
0,soi,3,-0.3882670472428582,3.949649206028805e-16,408,positive means higher index values are associated with wetter SPI-12
0,soi,6,-0.3631367570325888,2.9498607919744723e-14,411,positive means higher index values are associated with wetter SPI-12
0,pdo,0,0.4207303917460918,8.350933681775134e-19,405,positive means higher index values are associated with wetter SPI-12
0,pdo,1,0.4223846741216901,5.351113204974779e-19,406,positive means higher index values are associated with wetter SPI-12
0,pdo,3,0.44156703186591606,6.709954515690867e-21,408,positive means higher index values are associated with wetter SPI-12
0,pdo,6,0.45308605624364756,3.3778938303001825e-22,411,positive means higher index values are associated with wetter SPI-12
1,nino34,0,0.42688352123513273,2.286931719214781e-19,405,positive means higher index values are associated with wetter SPI-12
1,nino34,1,0.45986415982029444,1.2265041328338162e-22,406,positive means higher index values are associated with wetter SPI-12
1,nino34,3,0.49145369808736394,3.3925164336841245e-26,408,positive means higher index values are associated with wetter SPI-12
1,nino34,6,0.46098926612330315,5.131902090860951e-23,411,positive means higher index values are associated with wetter SPI-12
1,soi,0,-0.3899986509735857,3.662028144225227e-16,405,positive means higher index values are associated with wetter SPI-12
1,soi,1,-0.4217320288735284,6.136250377152861e-19,406,positive means higher index values are associated with wetter SPI-12
1,soi,3,-0.4412595316971692,7.19018180846862e-21,408,positive means higher index values are associated with wetter SPI-12
1,soi,6,-0.40958353391252666,4.670405428703815e-18,411,positive means higher index values are associated with wetter SPI-12
1,pdo,0,0.46982972891159536,1.2513364364286547e-23,405,positive means higher index values are associated with wetter SPI-12
1,pdo,1,0.4551150608506049,3.7600083062521902e-22,406,positive means higher index values are associated with wetter SPI-12
1,pdo,3,0.4615420230327102,6.454528435015005e-23,408,positive means higher index values are associated with wetter SPI-12
1,pdo,6,0.44193740947142346,4.440153856736449e-21,411,positive means higher index values are associated with wetter SPI-12
2,nino34,0,0.07605414711974141,0.126501775577269,405,positive means higher index values are associated with wetter SPI-12
2,nino34,1,0.10701230020619697,0.03110054768690485,406,positive means higher index values are associated with wetter SPI-12
2,nino34,3,0.16948518790017542,0.0005863891374480937,408,positive means higher index values are associated with wetter SPI-12
2,nino34,6,0.25118772553346264,2.471997630109947e-07,411,positive means higher index values are associated with wetter SPI-12
2,soi,0,-0.17240369883256862,0.0004922046842085744,405,positive means higher index values are associated with wetter SPI-12
2,soi,1,-0.1778420450657262,0.0003168534981215343,406,positive means higher index values are associated with wetter SPI-12
2,soi,3,-0.19388553242021112,8.089036040178333e-05,408,positive means higher index values are associated with wetter SPI-12
2,soi,6,-0.2595212310548603,9.44975875545247e-08,411,positive means higher index values are associated with wetter SPI-12
2,pdo,0,0.3643176278945075,3.708150544042136e-14,405,positive means higher index values are associated with wetter SPI-12
2,pdo,1,0.3648022443316649,3.172540138433199e-14,406,positive means higher index values are associated with wetter SPI-12
2,pdo,3,0.38590899773981335,6.143731856175799e-16,408,positive means higher index values are associated with wetter SPI-12
2,pdo,6,0.3721349830965451,6.02668110433311e-15,411,positive means higher index values are associated with wetter SPI-12
3,nino34,0,0.3765566257801681,4.320443519340894e-15,405,positive means higher index values are associated with wetter SPI-12
3,nino34,1,0.4183903747583242,1.2311827801820911e-18,406,positive means higher index values are associated with wetter SPI-12
3,nino34,3,0.46876929980567544,1.113806993358554e-23,408,positive means higher index values are associated with wetter SPI-12
3,nino34,6,0.500958376893736,1.695393841919913e-27,411,positive means higher index values are associated with wetter SPI-12
3,soi,0,-0.3700399624896946,1.3726836989162414e-14,405,positive means higher index values are associated with wetter SPI-12
3,soi,1,-0.3846377013902581,9.158265689350322e-16,406,positive means higher index values are associated with wetter SPI-12
3,soi,3,-0.41886504011750575,9.17785260376343e-19,408,positive means higher index values are associated with wetter SPI-12
3,soi,6,-0.4320259829891612,4.054565579305862e-20,411,positive means higher index values are associated with wetter SPI-12
3,pdo,0,0.4189844819631357,1.2001767804220566e-18,405,positive means higher index values are associated with wetter SPI-12
3,pdo,1,0.4097299424792653,7.220075298309149e-18,406,positive means higher index values are associated with wetter SPI-12
3,pdo,3,0.41599211537803504,1.6661950960100995e-18,408,positive means higher index values are associated with wetter SPI-12
3,pdo,6,0.38354071221050046,7.488218215736774e-16,411,positive means higher index values are associated with wetter SPI-12
