zone,run_id,start_time,end_time,duration_months,severity_threshold_deficit,mean_intensity,minimum_spi12
0,1,2002-07-01,2003-03-01,9,2.654502272605896,0.2949446969562107,-1.7974697351455688
0,2,2008-03-01,2008-09-01,7,3.00909423828125,0.42987060546875,-1.7247709035873413
0,3,2011-04-01,2013-08-01,29,21.7877094745636,0.7513003267090896,-2.573453664779663
0,4,2013-10-01,2013-10-01,1,0.0052536725997924805,0.0052536725997924805,-1.0052536725997925
0,5,2014-02-01,2014-03-01,2,0.11639606952667236,0.05819803476333618,-1.1104915142059326
0,6,2020-06-01,2020-06-01,1,0.15895414352416992,0.15895414352416992,-1.15895414352417
0,7,2020-08-01,2021-04-01,9,3.9420387744903564,0.4380043082767063,-1.7040414810180664
0,8,2022-03-01,2022-03-01,1,0.07683062553405762,0.07683062553405762,-1.0768306255340576
0,9,2022-05-01,2023-04-01,12,6.686921715736389,0.5572434763113657,-1.9162260293960571
1,1,1998-09-01,1998-09-01,1,0.16876506805419922,0.16876506805419922,-1.1687650680541992
1,2,2000-09-01,2000-09-01,1,0.08621621131896973,0.08621621131896973,-1.0862162113189697
1,3,2002-05-01,2002-05-01,1,0.0917961597442627,0.0917961597442627,-1.0917961597442627
1,4,2006-07-01,2006-08-01,2,0.10839200019836426,0.05419600009918213,-1.097137451171875
1,5,2011-04-01,2012-08-01,17,20.611419916152954,1.2124364656560562,-3.2217977046966553
1,6,2012-10-01,2013-07-01,10,3.9748226404190063,0.3974822640419006,-1.708178162574768
1,7,2020-11-01,2021-04-01,6,2.2093082666397095,0.3682180444399516,-1.5937100648880005
1,8,2022-03-01,2023-04-01,14,7.68437123298645,0.5488836594990322,-1.9173200130462646
2,1,1991-12-01,1992-02-01,3,0.21288013458251953,0.07096004486083984,-1.1083707809448242
2,2,1992-04-01,1992-05-01,2,0.1974555253982544,0.0987277626991272,-1.1666839122772217
2,3,1994-09-01,1994-09-01,1,0.05124485492706299,0.05124485492706299,-1.051244854927063
2,4,1996-05-01,1996-07-01,3,0.748200535774231,0.2494001785914103,-1.4347108602523804
2,5,2006-07-01,2006-11-01,5,1.5447427034378052,0.30894854068756106,-1.4842952489852905
2,6,2011-05-01,2012-03-01,11,6.665883779525757,0.6059894345023416,-2.061344861984253
2,7,2012-06-01,2013-06-01,13,8.861800193786621,0.6816769379835862,-2.318157911300659
2,8,2018-04-01,2018-06-01,3,0.9420198202133179,0.31400660673777264,-1.4585580825805664
2,9,2022-03-01,2022-04-01,2,0.6730246543884277,0.33651232719421387,-1.3442683219909668
2,10,2022-08-01,2023-08-01,13,8.080336213111877,0.6215643240855291,-2.039517879486084
3,1,1996-06-01,1996-06-01,1,0.13256299495697021,0.13256299495697021,-1.1325629949569702
3,2,1998-12-01,1999-04-01,5,1.8340024948120117,0.36680049896240235,-1.6915165185928345
3,3,2000-01-01,2000-01-01,1,0.001391768455505371,0.001391768455505371,-1.0013917684555054
3,4,2000-05-01,2000-09-01,5,0.8550260066986084,0.1710052013397217,-1.2884199619293213
3,5,2003-10-01,2003-10-01,1,0.07493698596954346,0.07493698596954346,-1.0749369859695435
3,6,2003-12-01,2004-01-01,2,0.5607235431671143,0.28036177158355713,-1.4431270360946655
3,7,2005-12-01,2006-03-01,4,0.8319486379623413,0.20798715949058533,-1.3878958225250244
3,8,2006-06-01,2006-11-01,6,2.462435245513916,0.41040587425231934,-1.7573049068450928
3,9,2009-03-01,2009-03-01,1,0.02772676944732666,0.02772676944732666,-1.0277267694473267
3,10,2011-03-01,2012-05-01,15,11.429568529129028,0.7619712352752686,-2.665764093399048
3,11,2012-11-01,2013-01-01,3,0.32011866569519043,0.1067062218983968,-1.16676926612854
3,12,2013-03-01,2013-05-01,3,0.6860202550888062,0.2286734183629354,-1.3009141683578491
3,13,2014-10-01,2014-10-01,1,0.021322011947631836,0.021322011947631836,-1.0213220119476318
3,14,2022-06-01,2023-01-01,8,2.756264567375183,0.3445330709218979,-1.533934473991394
