target_time,y_true_dry_frac,pred_prob_dry,clim_prob_dry,n_pixels,scenario,selected_calibration
2021-01-01,0.0029342723004694834,0.14632514,0.17397887323943662,6816,strict_spi1_chrono,isotonic
2021-02-01,0.4552523474178404,0.15657294,0.1362030516431925,6816,strict_spi1_chrono,isotonic
2021-03-01,0.20862676056338028,0.16063151,0.2055281690140845,6816,strict_spi1_chrono,isotonic
2021-04-01,0.8428697183098591,0.16812618,0.1826056338028169,6816,strict_spi1_chrono,isotonic
2021-05-01,0.45129107981220656,0.1674808,0.17590962441314553,6816,strict_spi1_chrono,isotonic
2021-06-01,0.3528462441314554,0.16035122,0.1045950704225352,6816,strict_spi1_chrono,isotonic
2021-07-01,0.0013204225352112676,0.11792546,0.011838660166124955,6816,strict_spi1_chrono,isotonic
2021-08-01,0.055474024068095096,0.03229862,0.06350612991352644,6814,strict_spi1_chrono,isotonic
2021-09-01,0.02597593190490167,0.09421945,0.06587681470276129,6814,strict_spi1_chrono,isotonic
2021-10-01,0.0,0.022521522,0.1448827075478088,6814,strict_spi1_chrono,isotonic
2021-11-01,0.08832159624413145,0.16757067,0.18200952509931384,6816,strict_spi1_chrono,isotonic
2021-12-01,0.0,0.16470361,0.15560671722643557,6816,strict_spi1_chrono,isotonic
2022-01-01,0.9843016431924883,0.13187522,0.17397887323943662,6816,strict_spi1_chrono,isotonic
2022-02-01,0.9765258215962441,0.16101882,0.1362030516431925,6816,strict_spi1_chrono,isotonic
2022-03-01,0.5133509389671361,0.16145705,0.2055281690140845,6816,strict_spi1_chrono,isotonic
2022-04-01,0.2935739436619718,0.19062279,0.1826056338028169,6816,strict_spi1_chrono,isotonic
2022-05-01,0.562206572769953,0.32127482,0.17590962441314553,6816,strict_spi1_chrono,isotonic
2022-06-01,0.013791079812206572,0.17631987,0.1045950704225352,6816,strict_spi1_chrono,isotonic
2022-07-01,0.0036678403755868545,0.12265892,0.011838660166124955,6816,strict_spi1_chrono,isotonic
2022-08-01,0.000146756677428823,0.056846626,0.06350612991352644,6814,strict_spi1_chrono,isotonic
2022-09-01,0.0007337833871441151,0.071194306,0.06587681470276129,6814,strict_spi1_chrono,isotonic
2022-10-01,0.46521866744936896,0.16152808,0.1448827075478088,6814,strict_spi1_chrono,isotonic
2022-11-01,0.07115610328638497,0.19676322,0.18200952509931384,6816,strict_spi1_chrono,isotonic
2022-12-01,0.0,0.30995244,0.15560671722643557,6816,strict_spi1_chrono,isotonic
2023-01-01,0.0,0.10290863,0.17397887323943662,6816,strict_spi1_chrono,isotonic
2023-02-01,0.0033744131455399062,0.12745717,0.1362030516431925,6816,strict_spi1_chrono,isotonic
2023-03-01,0.0,0.16155626,0.2055281690140845,6816,strict_spi1_chrono,isotonic
2023-04-01,0.7362089201877934,0.1717786,0.1826056338028169,6816,strict_spi1_chrono,isotonic
2023-05-01,0.17077464788732394,0.16690685,0.17590962441314553,6816,strict_spi1_chrono,isotonic
2023-06-01,0.00044014084507042255,0.15116999,0.1045950704225352,6816,strict_spi1_chrono,isotonic
2023-07-01,0.0019072769953051643,0.025509566,0.011838660166124955,6816,strict_spi1_chrono,isotonic
2023-08-01,0.002348106838861168,0.18870045,0.06350612991352644,6814,strict_spi1_chrono,isotonic
2023-09-01,0.00044027003228646906,0.15164064,0.06587681470276129,6814,strict_spi1_chrono,isotonic
2023-10-01,0.3068682125036689,0.15694693,0.1448827075478088,6814,strict_spi1_chrono,isotonic
2023-11-01,0.2705399061032864,0.12920761,0.18200952509931384,6816,strict_spi1_chrono,isotonic
2023-12-01,0.0010269953051643193,0.0014759109,0.15560671722643557,6816,strict_spi1_chrono,isotonic
2024-01-01,0.0,0.006153282,0.17397887323943662,6816,strict_spi1_chrono,isotonic
2024-02-01,0.0,0.004413673,0.1362030516431925,6816,strict_spi1_chrono,isotonic
2024-03-01,0.03931924882629108,0.00032722228,0.2055281690140845,6816,strict_spi1_chrono,isotonic
2024-04-01,0.24647887323943662,0.33539635,0.1826056338028169,6816,strict_spi1_chrono,isotonic
2024-05-01,0.14128521126760563,0.01426093,0.17590962441314553,6816,strict_spi1_chrono,isotonic
2024-06-01,0.006602112676056338,0.15906124,0.1045950704225352,6816,strict_spi1_chrono,isotonic
2024-07-01,0.002347417840375587,0.1425322,0.011838660166124955,6816,strict_spi1_chrono,isotonic
2024-08-01,0.011740534194305841,0.043317627,0.06350612991352644,6814,strict_spi1_chrono,isotonic
2024-09-01,0.009098914000587027,0.0772086,0.06587681470276129,6814,strict_spi1_chrono,isotonic
2024-10-01,0.2938068682125037,0.16029309,0.1448827075478088,6814,strict_spi1_chrono,isotonic
2024-11-01,0.0067488262910798125,0.16200927,0.18200952509931384,6816,strict_spi1_chrono,isotonic
2024-12-01,0.0013204225352112676,0.16156742,0.15560671722643557,6816,strict_spi1_chrono,isotonic
2025-01-01,0.9022887323943662,0.16414373,0.17397887323943662,6816,strict_spi1_chrono,isotonic
2025-02-01,0.0,0.20544386,0.1362030516431925,6816,strict_spi1_chrono,isotonic
2025-03-01,0.037411971830985914,0.16144165,0.2055281690140845,6816,strict_spi1_chrono,isotonic
2025-04-01,0.37646713615023475,0.17241961,0.1826056338028169,6816,strict_spi1_chrono,isotonic
2025-05-01,0.16153169014084506,0.21478033,0.17590962441314553,6816,strict_spi1_chrono,isotonic
2025-06-01,0.14891431924882628,0.16426635,0.1045950704225352,6816,strict_spi1_chrono,isotonic
2025-07-01,0.0005868544600938967,0.057726122,0.011838660166124955,6816,strict_spi1_chrono,isotonic
2025-08-01,0.0,0.07982735,0.06350612991352644,6814,strict_spi1_chrono,isotonic
2025-09-01,0.0,0.072429836,0.06587681470276129,6814,strict_spi1_chrono,isotonic
2025-10-01,0.013501614323451717,0.16485009,0.1448827075478088,6814,strict_spi1_chrono,isotonic
2025-11-01,0.023474178403755867,0.1627998,0.18200952509931384,6816,strict_spi1_chrono,isotonic
2025-12-01,0.0,0.17060824,0.15560671722643557,6816,strict_spi1_chrono,isotonic
2026-01-01,0.05472417840375587,0.019098401,0.17397887323943662,6816,strict_spi1_chrono,isotonic
2026-02-01,0.0,0.16017444,0.1362030516431925,6816,strict_spi1_chrono,isotonic
2026-03-01,0.5824530516431925,0.1694091,0.2055281690140845,6816,strict_spi1_chrono,isotonic
1991-07-01,0.15911282545805208,0.12466142,0.009249053529496334,1037,random_spi1_rows,isotonic
1991-08-01,0.39712918660287083,0.2738464,0.05130344984930175,1045,random_spi1_rows,isotonic
1991-09-01,0.5996055226824457,0.5911942,0.05656632088726794,1014,random_spi1_rows,isotonic
1991-10-01,0.06970260223048327,0.028155765,0.19524203112085384,1076,random_spi1_rows,isotonic
1991-11-01,0.5223880597014925,0.5151701,0.167907539953722,1005,random_spi1_rows,isotonic
