target_time,init_month,reason
2022-07-01,2022-06-01,no_month_or_hour_catalog
2024-01-01,2023-12-01,no_month_or_hour_catalog
2024-02-01,2024-01-01,no_month_or_hour_catalog
2024-03-01,2024-02-01,no_month_or_hour_catalog
2024-04-01,2024-03-01,no_month_or_hour_catalog
2024-05-01,2024-04-01,no_month_or_hour_catalog
2024-06-01,2024-05-01,no_month_or_hour_catalog
2024-07-01,2024-06-01,no_month_or_hour_catalog
2024-08-01,2024-07-01,no_month_or_hour_catalog
2024-09-01,2024-08-01,no_month_or_hour_catalog
2024-10-01,2024-09-01,no_month_or_hour_catalog
2024-11-01,2024-10-01,no_month_or_hour_catalog
2024-12-01,2024-11-01,no_month_or_hour_catalog
2025-01-01,2024-12-01,no_month_or_hour_catalog
2025-07-01,2025-06-01,no_month_or_hour_catalog
2025-10-01,2025-09-01,no_month_or_hour_catalog
2025-11-01,2025-10-01,no_month_or_hour_catalog
2025-12-01,2025-11-01,no_month_or_hour_catalog
2026-01-01,2025-12-01,no_month_or_hour_catalog
2026-02-01,2026-01-01,no_month_or_hour_catalog
2026-03-01,2026-02-01,no_month_or_hour_catalog
