category,scope,region,target,lead_months,model,calibration,n_test_months,bs_reference,bs_model,bss_vs_climatology,bss_ci_low,bss_ci_high,roc_auc_dry,hss,delta_bss,claim_status,headline,notes,source_file
central_valley_calibrated_checkpoint,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGB,isotonic,63,0.0643,0.06839,-0.06395,-0.2165,0.0492,,,,not_distinguishable_from_climatology,True,Validation-selected post-hoc calibration; this is the primary Central Valley probability-skill checkpoint.,outputs/calib_study_results.csv
central_valley_calibrated_checkpoint,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial,isotonic,63,0.0643,0.06394,0.00525,-0.0622,0.0733,,,,positive_uncertain,True,Validation-selected post-hoc calibration; this is the primary Central Valley probability-skill checkpoint.,outputs/calib_study_results.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial + gridded temperature/VPD isotonic,isotonic,63,0.06427839150335463,0.0672850632124502,-0.04677577703447455,-0.1266482077321547,0.027352523746960185,,,,not_distinguishable_from_climatology,False,ERA5-Land gridded t2m/VPD anomaly lags interpolated to CHIRPS grid.,outputs/met_spatial_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial + gridded temperature/VPD platt,platt,63,0.06427839150335463,0.06943473802220286,-0.08021897247660803,-0.15534706948238472,-0.026744579840371704,,,,robust_negative,False,ERA5-Land gridded t2m/VPD anomaly lags interpolated to CHIRPS grid.,outputs/met_spatial_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial + gridded temperature/VPD raw,raw,63,0.06427839150335463,0.0746471239652402,-0.16130976863888136,-0.7999461680354165,0.13677949959867894,,,,not_distinguishable_from_climatology,False,ERA5-Land gridded t2m/VPD anomaly lags interpolated to CHIRPS grid.,outputs/met_spatial_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial + gridded temperature/VPD selected,selected,63,0.06427839150335463,0.0672850632124502,-0.04677577703447455,-0.13077505888753707,0.023428449689384987,,,,not_distinguishable_from_climatology,True,ERA5-Land gridded t2m/VPD anomaly lags interpolated to CHIRPS grid.,outputs/met_spatial_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + MJO/IVT isotonic,isotonic,39,0.07910280893765495,0.10545040915099993,-0.3330804628456481,-1.0340697428191425,-0.09562615560508092,,,,robust_negative,False,MJO RMM monthly features plus optional ERA5 IVT anomalies; shorter test period.,outputs/atmos_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + MJO/IVT platt,platt,39,0.07910280893765495,0.08849593832948352,-0.11874583871265276,-0.26354204939013687,-0.0026518112280541854,,,,robust_negative,False,MJO RMM monthly features plus optional ERA5 IVT anomalies; shorter test period.,outputs/atmos_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + MJO/IVT raw,raw,39,0.07910280893765495,0.09981335874124939,-0.2618181336634644,-0.9233441401019774,0.010317467987971908,,,,not_distinguishable_from_climatology,False,MJO RMM monthly features plus optional ERA5 IVT anomalies; shorter test period.,outputs/atmos_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + MJO/IVT selected,selected,39,0.07910280893765495,0.10545040915099993,-0.3330804628456481,-1.0437006432445564,-0.08263635721544635,,,,robust_negative,True,MJO RMM monthly features plus optional ERA5 IVT anomalies; shorter test period.,outputs/atmos_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + regional temperature/VPD isotonic,isotonic,63,0.06427839150335463,0.07020302324887273,-0.09217143750725154,-0.17637160183353243,-0.03335172226930417,,,,robust_negative,False,ERA5-Land regional t2m/VPD anomaly lags.,outputs/met_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + regional temperature/VPD platt,platt,63,0.06427839150335463,0.07284186778876318,-0.13322480673713866,-0.25157356316878626,-0.0652698030709687,,,,robust_negative,False,ERA5-Land regional t2m/VPD anomaly lags.,outputs/met_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + regional temperature/VPD raw,raw,63,0.06427839150335463,0.06621775318587972,-0.030171285204358078,-0.4464586174087721,0.2145624682890554,,,,not_distinguishable_from_climatology,False,ERA5-Land regional t2m/VPD anomaly lags.,outputs/met_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + regional temperature/VPD selected,selected,63,0.06427839150335463,0.07020302324887273,-0.09217143750725154,-0.1772762021284822,-0.03342030607863104,,,,robust_negative,True,ERA5-Land regional t2m/VPD anomaly lags.,outputs/met_feature_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture isotonic,isotonic,63,0.06427839150335463,0.07443511272221977,-0.15801144025726077,-0.35940395695497906,-0.0509222773364179,,,,robust_negative,False,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture platt,platt,63,0.06427839150335463,0.07199954341337272,-0.12012049040796446,-0.2173760452704162,-0.06002395942741021,,,,robust_negative,False,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture raw,raw,63,0.06427839150335463,0.10183702749871812,-0.5843120077670789,-1.3560103296483503,-0.2521863075136769,,,,robust_negative,False,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture selected,selected,63,0.06427839150335463,0.07443511272221977,-0.15801144025726077,-0.3845280871285667,-0.048934553933159514,,,,robust_negative,True,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv
