evidence_group,experiment,region,target,lead_months,model,calibration,reference,n_months,bss,ci_low,ci_high,status,signal_flag,interpretation,source_file,paper_priority
central_valley_calibrated_checkpoint,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial,isotonic,monthly climatology,63,0.00525,-0.0622,0.0733,positive_uncertain,,Validation-selected post-hoc calibration; this is the primary Central Valley probability-skill checkpoint.,outputs/calib_study_results.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGB-Spatial + gridded temperature/VPD selected,selected,monthly climatology,63,-0.0467757770344745,-0.130775058887537,0.0234284496893849,not_distinguishable_from_climatology,,ERA5-Land gridded t2m/VPD anomaly lags interpolated to CHIRPS grid.,outputs/met_spatial_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + regional temperature/VPD selected,selected,monthly climatology,63,-0.0921714375072515,-0.1772762021284822,-0.033420306078631,robust_negative,,ERA5-Land regional t2m/VPD anomaly lags.,outputs/met_feature_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + soil moisture selected,selected,monthly climatology,63,-0.1580114402572607,-0.3845280871285667,-0.0489345539331595,robust_negative,,ERA5-Land soil-water/root-zone anomaly lags.,outputs/soil_moisture_xgb_monthly_scores.csv,True
central_valley_feature_extension,canonical_spi1_lead1_feature_extension,California Central Valley,SPI-1 dry fraction,1,XGBoost + MJO/IVT selected,selected,monthly climatology,39,-0.3330804628456481,-1.0437006432445564,-0.0826363572154463,robust_negative,,MJO RMM monthly features plus optional ERA5 IVT anomalies; shorter test period.,outputs/atmos_feature_xgb_monthly_scores.csv,True
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target lag/climate XGBoost,selected,monthly climatology,62,0.0396369278062638,-0.0204470046599093,0.0819334495863394,positive_uncertain,,variant=lag_climate; best_validation_calibration=platt; spearman=0.004; amplitude_ratio=0.076; top_features=nino34_lag2; nino34_lag1; month_cos; month_sin; spi6_lag1; spi3_lag1; spi1_lag3; spi1_lag2,outputs/memory_target_spi6_lead6_summary.csv,True
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target soil-memory XGBoost,selected,monthly climatology,62,-0.1576081113468481,-0.409904380861572,0.0121116688621265,not_distinguishable_from_climatology,,variant=soil_memory; best_validation_calibration=isotonic; spearman=-0.102; amplitude_ratio=0.314; top_features=nino34_lag2; rootzone_sm_anom_lag2; swvl1_anom_lag2; swvl3_anom_lag1; swvl3_anom_lag2; swvl2_anom_lag2; rootzone_sm_anom_lag1; swvl2_anom_lag1,outputs/memory_target_spi6_lead6_summary.csv,True
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target external CPC NMME anomaly forecast,selected,monthly climatology,62,-0.3439270193080728,-1.189541805726863,0.1044599480004773,not_distinguishable_from_climatology,,variant=external_operational; best_validation_calibration=nan; spearman=0.171; amplitude_ratio=0.636,outputs/memory_target_spi6_lead6_summary.csv,True
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target external CPC NMME probability forecast,selected,monthly climatology,49,-0.4086320302452966,-1.7655304396017408,0.1680406997877166,not_distinguishable_from_climatology,,variant=external_operational; best_validation_calibration=nan; spearman=0.361; amplitude_ratio=0.612,outputs/memory_target_spi6_lead6_summary.csv,True
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,target-consistent persistence,none,monthly climatology,62,-0.9491832774726404,-2.018791143323845,-0.3291745620200769,robust_negative,,variant=lag_climate; best_validation_calibration=platt; spearman=-0.163; amplitude_ratio=1.019; top_features=nino34_lag2; nino34_lag1; month_cos; month_sin; spi6_lag1; spi3_lag1; spi1_lag3; spi1_lag2,outputs/memory_target_spi6_lead6_summary.csv,True
central_valley_uncertainty,canonical_spi1_lead1_edl,California Central Valley,SPI-1 dry fraction,1,EDL MLP selected,selected,monthly climatology,63,-0.1162250161444269,-0.2073735559079597,-0.0592014335190758,robust_negative,,"Dirichlet EDL uncertainty; selected monthly uncertainty Spearman corr(abs error): total=0.028, epistemic=0.117.",outputs/edl_uncertainty_monthly.csv,True
forecast_informed_landsurface_benchmark,landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles,Southern Great Plains,ERA5-Land root-zone soil moisture dry fraction,1,ERA5-Land root-zone persistence raw,raw,monthly climatology,39,0.6947631444236206,0.4141366253580789,0.8511912853587403,robust_positive,,"Same observed root-zone dry-fraction target, using previous observed month as a land-memory reference.",outputs/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv,True
