region,target_spi,lead_months,climate_features,bss_iso_vs_clim,corr_iso_obs,std_ratio_iso_obs,iso_bias,iso_beats_clim_fraction,robust_status,signal_flag
cvalley,3,3,all,0.0360428831473834,0.1201591225939861,0.1885858110669395,-0.0158972106905553,0.5084745762711864,positive_uncertain,positive_weak_tracking
cvalley,3,4,all,0.0291316869023228,0.2015958361239211,0.1110214629711563,-0.0447435073287827,0.4333333333333333,positive_uncertain,positive_temporal_tracking
cvalley,3,5,all,-0.0152502374085676,0.0462938896150075,0.1423946182956305,-0.04621931857952,0.4754098360655737,negative_uncertain,no_positive_signal
cvalley,3,6,all,-0.1078241520304834,-0.0156830569357464,0.32711656706833,-0.0166580049474208,0.4354838709677419,negative_uncertain,no_positive_signal
cvalley,6,6,all,-0.1100881320172235,-0.0531340746955093,0.3894225492240175,-0.0551621501741997,0.532258064516129,negative_uncertain,no_positive_signal
horn_of_africa_country_masked,3,3,nino34,-0.0293639423179459,0.1799820994686266,0.1475835937688354,-0.0485572066208182,0.5932203389830508,negative_uncertain,no_positive_signal
horn_of_africa_country_masked,6,6,nino34,-0.1268140283918724,-0.0864025808304218,0.3569559650922611,-0.0323196934962074,0.5645161290322581,negative_uncertain,no_positive_signal
mediterranean_spain_basin_masked,3,3,all,0.01843781198179,0.097355846263694,0.0558543332645817,0.0025563543352926,0.4406779661016949,positive_uncertain,positive_calibration_shift
mediterranean_spain_basin_masked,3,3,nino34,-0.0668617567705665,-0.3129805178942839,0.1069759424481488,-0.0032694206477581,0.3728813559322034,robust_negative,no_positive_signal
mediterranean_spain_basin_masked,6,6,all,-0.0071365221198249,0.0116800878760094,0.3311152985049505,0.0297515445575424,0.532258064516129,negative_uncertain,no_positive_signal
mediterranean_spain_basin_masked,6,6,nino34,0.0775814549429552,0.0409277784652891,0.1039945443764096,0.0310880006059295,0.6612903225806451,robust_positive,positive_calibration_shift
murray_darling_basin_masked,3,3,nino34,-1.09948034971314,0.238384873441216,0.3753229748405097,0.1681427384668967,0.1016949152542373,robust_negative,no_positive_signal
murray_darling_basin_masked,6,6,nino34,-2.121155580742501,0.3317362679249032,0.4353754943527373,0.1864646963230825,0.1290322580645161,robust_negative,raw_signal_lost_after_calibration
southern_great_plains_basin_masked,3,3,all,-0.0649008387126206,-0.0657420845133406,0.277082210290937,-0.0241333770096891,0.4576271186440678,negative_uncertain,no_positive_signal
southern_great_plains_basin_masked,3,3,nino34,0.0329058056302161,0.313211646894438,0.1564897879249044,-0.0766868982469773,0.6271186440677966,positive_uncertain,positive_temporal_tracking
southern_great_plains_basin_masked,6,6,all,-0.1137219953961028,0.1139408250855603,0.2991529297435268,-0.0910904734176484,0.4193548387096774,robust_negative,no_positive_signal
southern_great_plains_basin_masked,6,6,nino34,-0.0867739407631791,0.4018245939905512,0.1212651066330431,-0.1114478884734548,0.5161290322580645,robust_negative,no_positive_signal
