scope,transition,model,n_months,n_eligible_median,n_eligible_min,n_eligible_max,bs_reference,bs_model,bss_vs_eligible_climatology,bss_ci_low,bss_ci_high,spearman,amplitude_ratio,claim_status,source_file,interpretation
cvalley,onset,"all-pixel XGBoost isotonic, eligible score",63,6722.0,107,6816,0.0633852031500512,0.060097924732502,0.0518619213031027,-0.0406172802446871,0.1175236467135056,0.3960792184167411,0.2406045551088407,positive_uncertain,outputs/transition_onset_eligible_monthly_scores.csv,Transition-target diagnostic row.
cvalley,onset,eligible-only XGBoost isotonic,63,6722.0,107,6816,0.0633852031500512,0.0567685359033946,0.1043881997347702,0.024711354643421,0.167150858710679,0.401893846205917,0.2917398974442245,robust_positive,outputs/transition_onset_eligible_monthly_scores.csv,"Rectangular Central Valley onset is small robust-positive, but it is not replicated by stricter geometry."
cvalley_basin_masked,onset,"all-pixel XGBoost isotonic, eligible score",63,1900.0,25,1903,0.0759488571012692,0.0751435421825336,0.0106033842966434,-0.1186331449284146,0.0865489081776398,0.3890773606060553,0.2709712419817703,positive_uncertain,outputs/transition_cvalley_basin_masked_onset_eligible_monthly_scores.csv,Central Valley basin-mask sensitivity does not preserve the rectangular onset signal.
cvalley_basin_masked,onset,eligible-only XGBoost isotonic,63,1900.0,25,1903,0.0759488571012692,0.0780038512146282,-0.0270576041798611,-0.1806005451909986,0.0579218352159871,0.340512883075154,0.270618637411438,not_distinguishable_from_climatology,outputs/transition_cvalley_basin_masked_onset_eligible_monthly_scores.csv,Central Valley basin-mask sensitivity does not preserve the rectangular onset signal.
mediterranean_spain_basin_masked,onset,"all-pixel XGBoost isotonic, eligible score",63,8623.0,1724,9057,0.0420830633450502,0.0474780926426504,-0.1281995384548155,-0.3640337354790455,0.0205462127172115,0.0205439430393798,0.260732372892184,not_distinguishable_from_climatology,outputs/transition_mediterranean_spain_basin_masked_onset_eligible_monthly_scores.csv,Mediterranean Spain basin-masked onset remains near eligible climatology.
mediterranean_spain_basin_masked,onset,eligible-only XGBoost isotonic,63,8623.0,1724,9057,0.0420830633450502,0.0435646319223908,-0.0352058158217432,-0.1242676770637628,0.0164598509679128,0.0138337118213449,0.1081704772646669,not_distinguishable_from_climatology,outputs/transition_mediterranean_spain_basin_masked_onset_eligible_monthly_scores.csv,Mediterranean Spain basin-masked onset remains near eligible climatology.
southern_great_plains_basin_masked,onset,"all-pixel XGBoost isotonic, eligible score",63,16848.0,3248,19424,0.0608904339878992,0.0662055894647716,-0.0872904843793469,-0.1555911827918983,-0.0261510002141763,0.0104532321865448,0.1172977499205205,robust_negative,outputs/transition_southern_great_plains_basin_masked_onset_eligible_monthly_scores.csv,Southern Great Plains basin-masked onset is robustly worse than eligible climatology.
southern_great_plains_basin_masked,onset,eligible-only XGBoost isotonic,63,16848.0,3248,19424,0.0608904339878992,0.0660014341022546,-0.0839376529221502,-0.1471349030022311,-0.0157397273953537,0.1127179771022109,0.0089179875713514,robust_negative,outputs/transition_southern_great_plains_basin_masked_onset_eligible_monthly_scores.csv,Southern Great Plains basin-masked onset is robustly worse than eligible climatology.
cvalley,termination,"all-pixel XGBoost isotonic, eligible score",51,378.0,1,6709,0.0687263796041603,0.1627481841331731,-1.368059907571809,-3.497568321619076,-0.3724928328231242,-0.0012350216241211,1.0261084440588744,robust_negative,outputs/transition_termination_eligible_monthly_scores.csv,Termination does not beat the eligible-state climatology.
cvalley,termination,eligible-only XGBoost isotonic,51,378.0,1,6709,0.0687263796041603,0.0708899808827046,-0.031481380090234,-0.285493268896677,0.1784147354604809,0.1523948539523942,0.2170684441073053,not_distinguishable_from_climatology,outputs/transition_termination_eligible_monthly_scores.csv,Termination does not beat the eligible-state climatology.
