run_slug,region,region_name,mask_kind,n_clusters,pca_cumulative_explained_variance,zone,n_pixels,pixel_fraction,n_drought_runs,mean_duration_months,max_duration_months,mean_intensity,min_spi12_during_runs,top_index,top_lag_months,top_pearson_r,top_p_value
cvalley,cvalley,California Central Valley,none,4,0.587906736184298,0,1980,0.2904929577464789,8,7.875,21.0,0.4560371426926864,-3.442229747772217,pdo,6,0.2541215801715649,1.768847790167677e-07
cvalley,cvalley,California Central Valley,none,4,0.587906736184298,1,2158,0.3166079812206572,13,5.923076923076923,21.0,0.3736627727710575,-2.982707262039185,nino34,6,0.2898019568345754,2.0529179073003062e-09
cvalley,cvalley,California Central Valley,none,4,0.587906736184298,2,972,0.1426056338028169,10,6.1,26.0,0.2490276457866032,-2.5559842586517334,pdo,0,0.3463896829061458,7.35501852694295e-13
cvalley,cvalley,California Central Valley,none,4,0.587906736184298,3,1706,0.2502934272300469,15,4.533333333333333,17.0,0.1953457297703639,-2.966186761856079,pdo,0,0.1722166090155152,0.0004993145620405
cvalley_basin_masked,cvalley,California Central Valley,basin,4,0.6252476706388959,0,588,0.3089858118759853,15,4.866666666666666,20.0,0.333245549845317,-3.0885350704193115,pdo,6,0.2937627300753351,1.2645770643237894e-09
cvalley_basin_masked,cvalley,California Central Valley,basin,4,0.6252476706388959,1,392,0.2059905412506568,10,7.4,21.0,0.4117625881565942,-3.433297872543335,nino34,6,0.2808147482767984,6.929638824526802e-09
cvalley_basin_masked,cvalley,California Central Valley,basin,4,0.6252476706388959,2,478,0.2511823436678928,15,5.666666666666667,22.0,0.4161307417061995,-2.482339143753052,pdo,6,0.301184325787341,4.58578519200368e-10
cvalley_basin_masked,cvalley,California Central Valley,basin,4,0.6252476706388959,3,445,0.233841303205465,10,6.2,20.0,0.4569313829220258,-3.4484403133392334,pdo,6,0.2310316196485208,2.2050551398501588e-06
horn_of_africa_country_masked,horn_of_africa,Horn of Africa bounding box,country,4,0.4228212438429489,0,20626,0.3849786288892622,9,2.5555555555555554,6.0,0.1852179368336995,-1.610770344734192,nino34,6,0.5422650454980925,8.574287010652632e-33
horn_of_africa_country_masked,horn_of_africa,Horn of Africa bounding box,country,4,0.4228212438429489,1,11142,0.207962371913321,7,4.571428571428571,12.0,0.2392351409745595,-1.844120740890503,nino34,0,-0.2887553230381436,3.2254500042932203e-09
horn_of_africa_country_masked,horn_of_africa,Horn of Africa bounding box,country,4,0.4228212438429489,2,7113,0.1327621927319558,4,6.25,13.0,0.2861667476021327,-1.6756280660629272,pdo,0,-0.1677630449225067,0.00069947273132
horn_of_africa_country_masked,horn_of_africa,Horn of Africa bounding box,country,4,0.4228212438429489,3,14696,0.2742968064654609,6,4.833333333333333,19.0,0.247024116808908,-1.9229415655136108,nino34,6,0.3557152608523404,1.0533497831941933e-13
mediterranean_spain_basin_masked,mediterranean_spain,Mediterranean Spain bounding box,basin,4,0.5488721318061989,0,3003,0.3315667439549519,11,4.818181818181818,11.0,0.2986933425547772,-1.8000752925872805,soi,0,0.1243193140257164,0.0122844697065296
mediterranean_spain_basin_masked,mediterranean_spain,Mediterranean Spain bounding box,basin,4,0.5488721318061989,1,1938,0.2139781384564425,11,4.090909090909091,12.0,0.2803286330266432,-2.155883550643921,nino34,3,0.094369640667295,0.0568350310487736
mediterranean_spain_basin_masked,mediterranean_spain,Mediterranean Spain bounding box,basin,4,0.5488721318061989,2,2523,0.2785690626035111,13,3.769230769230769,10.0,0.2777269025134225,-2.3049840927124023,nino34,1,0.1177722033689844,0.017596795549327
mediterranean_spain_basin_masked,mediterranean_spain,Mediterranean Spain bounding box,basin,4,0.5488721318061989,3,1593,0.1758860549850944,15,3.8666666666666663,11.0,0.3064482822562709,-2.5931127071380615,pdo,0,0.1865081586154915,0.0001600218343973
murray_darling_basin_masked,murray_darling,Murray-Darling Basin bounding box,basin,4,0.5499792092183664,0,8022,0.1987266826863527,9,5.333333333333333,14.0,0.3492642279364105,-2.546494245529175,nino34,1,-0.4599496056879962,1.2018372768645992e-22
murray_darling_basin_masked,murray_darling,Murray-Darling Basin bounding box,basin,4,0.5499792092183664,1,11373,0.2817400351772487,13,2.769230769230769,7.0,0.1781133926176762,-1.7470825910568235,nino34,3,-0.2146912270435429,1.2179099062059608e-05
murray_darling_basin_masked,murray_darling,Murray-Darling Basin bounding box,basin,4,0.5499792092183664,2,12176,0.3016325216141898,9,4.111111111111111,14.0,0.2616075553748973,-2.1601340770721436,nino34,3,-0.3582514457447309,8.439561872238325e-14
murray_darling_basin_masked,murray_darling,Murray-Darling Basin bounding box,basin,4,0.5499792092183664,3,8796,0.2179007605222087,10,5.8,25.0,0.2069905036858149,-2.0197718143463135,soi,1,0.3931456560701737,1.8561806960003904e-16
southern_great_plains_basin_masked,southern_great_plains,Southern Great Plains,basin,4,0.5244901613420665,0,4227,0.2176173805601318,9,7.888888888888889,29.0,0.3078444322381642,-2.573453664779663,pdo,6,0.4530860562436475,3.3778938303001825e-22
southern_great_plains_basin_masked,southern_great_plains,Southern Great Plains,basin,4,0.5244901613420665,1,5779,0.2975185337726524,8,6.5,17.0,0.3659992341066943,-3.2217977046966553,nino34,3,0.4914536980873639,3.3925164336841245e-26
southern_great_plains_basin_masked,southern_great_plains,Southern Great Plains,basin,4,0.5244901613420665,2,5375,0.2767195222405272,10,5.6,13.0,0.3339031012269444,-2.318157911300659,pdo,3,0.3859089977398133,6.1437318561758e-16
southern_great_plains_basin_masked,southern_great_plains,Southern Great Plains,basin,4,0.5244901613420665,3,4043,0.2081445634266886,14,4.0,15.0,0.2240274987760044,-2.665764093399048,nino34,6,0.500958376893736,1.695393841919913e-27
