region,score_file,target_spi,lead_months,climate_features,target_time_start,target_time_end,n_test_months_from_probs,best_iteration,n_features,features,n_test_months,bs_climatology,bs_persistence,bs_xgb_raw,bs_xgb_isotonic,bss_persistence,bss_persistence_ci_low,bss_persistence_ci_high,bss_xgb_raw,bss_xgb_raw_ci_low,bss_xgb_raw_ci_high,bss_xgb_isotonic,bss_xgb_isotonic_ci_low,bss_xgb_isotonic_ci_high,region_label,mask_kind,status
cvalley,outputs/seasonal_spi3_lead3_experiment_scores.txt,3,3,all,2021-01-01,2025-11-01,59,33,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",59,0.08765,0.15798,0.10942,0.08449,-0.80245,-1.55296,-0.36279,-0.2484,-1.01447,0.08766,0.03604,-0.12663,0.13441,,,positive_uncertain
cvalley,outputs/seasonal_spi3_lead4_experiment_scores.txt,3,4,all,2021-01-01,2025-12-01,60,62,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",60,0.08635,0.16373,0.10111,0.08384,-0.89599,-2.11534,-0.24158,-0.17086,-0.72544,0.15465,0.02913,-0.05333,0.10161,,,positive_uncertain
cvalley,outputs/seasonal_spi3_lead5_experiment_scores.txt,3,5,all,2021-01-01,2026-01-01,61,74,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",61,0.08528,0.1825,0.10856,0.08658,-1.13986,-2.65073,-0.37127,-0.27289,-0.9523,0.11472,-0.01525,-0.13854,0.07954,,,negative_uncertain
cvalley,outputs/seasonal_spi3_lead6_experiment_scores.txt,3,6,all,2021-01-01,2026-02-01,62,123,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",62,0.08421,0.18243,0.13238,0.09329,-1.16632,-2.70006,-0.4254,-0.57202,-1.28151,-0.13599,-0.10782,-0.32744,0.04534,,,negative_uncertain
cvalley,outputs/seasonal_spi6_lead6_experiment_scores.txt,6,6,all,2021-01-01,2026-02-01,62,48,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",62,0.12695,0.24745,0.15127,0.14092,-0.94918,-2.01903,-0.36532,-0.19159,-0.74347,0.09043,-0.11009,-0.37336,0.03511,,,negative_uncertain
horn_of_africa_country_masked,outputs/seasonal/horn_of_africa_country_masked/seasonal_spi3_lead3_climate_nino34_experiment_scores.txt,3,3,nino34,2021-01-01,2025-11-01,59,264,12,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2",59,0.01418,0.02798,0.05477,0.01459,-0.97338,-1.77156,-0.3459,-2.86281,-5.53908,-1.32297,-0.02936,-0.3306,0.3481,Horn of Africa bounding box (horn_of_africa_country_masked),country,negative_uncertain
horn_of_africa_country_masked,outputs/seasonal/horn_of_africa_country_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,6,6,nino34,2021-01-01,2026-02-01,62,13,12,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2",62,0.01509,0.02059,0.05735,0.017,-0.36473,-0.83943,0.04652,-2.8003,-3.97376,-1.81114,-0.12681,-0.45291,0.22113,Horn of Africa bounding box (horn_of_africa_country_masked),country,negative_uncertain
mediterranean_spain_basin_masked,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi3_lead3_experiment_scores.txt,3,3,all,2021-01-01,2025-11-01,59,1,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",59,0.0554,0.14269,0.08271,0.05438,-1.57566,-2.94263,-0.85661,-0.49294,-1.41504,-0.05538,0.01844,-0.0336,0.05693,,,positive_uncertain
mediterranean_spain_basin_masked,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi3_lead3_climate_nino34_experiment_scores.txt,3,3,nino34,2021-01-01,2025-11-01,59,285,12,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2",59,0.0554,0.14269,0.11144,0.0591,-1.57566,-2.94263,-0.85661,-1.0116,-2.17991,-0.37965,-0.06686,-0.14144,-0.01238,Mediterranean Spain bounding box (mediterranean_spain_basin_masked),basin,robust_negative
mediterranean_spain_basin_masked,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi6_lead6_experiment_scores.txt,6,6,all,2021-01-01,2026-02-01,62,4,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",62,0.02554,0.04929,0.06824,0.02572,-0.92986,-1.6861,-0.34343,-1.67174,-2.80032,-0.91866,-0.00714,-0.19317,0.16369,,,negative_uncertain
mediterranean_spain_basin_masked,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,6,6,nino34,2021-01-01,2026-02-01,62,397,12,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2",62,0.02554,0.04929,0.07396,0.02356,-0.92986,-1.6861,-0.34343,-1.89592,-3.43081,-0.8141,0.07758,0.00447,0.16189,Mediterranean Spain bounding box (mediterranean_spain_basin_masked),basin,robust_positive
murray_darling_basin_masked,outputs/seasonal/murray_darling_basin_masked/seasonal_spi3_lead3_climate_nino34_experiment_scores.txt,3,3,nino34,2021-01-01,2025-11-01,59,274,12,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2",59,0.02122,0.03275,0.04877,0.04455,-0.54347,-1.81222,0.22024,-1.29829,-3.32229,-0.31837,-1.09948,-2.28336,-0.45872,Murray-Darling Basin bounding box (murray_darling_basin_masked),basin,robust_negative
murray_darling_basin_masked,outputs/seasonal/murray_darling_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,6,6,nino34,2021-01-01,2026-02-01,62,36,12,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2",62,0.01434,0.01986,0.04865,0.04476,-0.38498,-1.16054,0.16776,-2.39297,-3.78309,-1.35121,-2.12116,-3.11742,-1.2946,Murray-Darling Basin bounding box (murray_darling_basin_masked),basin,robust_negative
southern_great_plains_basin_masked,outputs/seasonal/southern_great_plains_basin_masked/seasonal_spi3_lead3_experiment_scores.txt,3,3,all,2021-01-01,2025-11-01,59,152,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",59,0.06675,0.13412,0.11942,0.07109,-1.00922,-2.34194,-0.29708,-0.789,-2.14956,-0.15345,-0.0649,-0.27972,0.06277,,,negative_uncertain
southern_great_plains_basin_masked,outputs/seasonal/southern_great_plains_basin_masked/seasonal_spi3_lead3_climate_nino34_experiment_scores.txt,3,3,nino34,2021-01-01,2025-11-01,59,178,12,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2",59,0.06675,0.13412,0.07484,0.06456,-1.00922,-2.34194,-0.29708,-0.12117,-0.97246,0.3328,0.03291,-0.03683,0.0935,Southern Great Plains (southern_great_plains_basin_masked),basin,positive_uncertain
southern_great_plains_basin_masked,outputs/seasonal/southern_great_plains_basin_masked/seasonal_spi6_lead6_experiment_scores.txt,6,6,all,2021-01-01,2026-02-01,62,434,14,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2, pdo_lag1, pdo_lag2",62,0.05742,0.09185,0.11353,0.06395,-0.5998,-1.25869,-0.15867,-0.97741,-2.25348,-0.2405,-0.11372,-0.22748,-0.01641,,,robust_negative
southern_great_plains_basin_masked,outputs/seasonal/southern_great_plains_basin_masked/seasonal_spi6_lead6_climate_nino34_experiment_scores.txt,6,6,nino34,2021-01-01,2026-02-01,62,15,12,"spi1_lag1, spi1_lag2, spi1_lag3, spi3_lag1, spi6_lag1, pr_lag1, pr_lag2, pr_lag3, month_sin, month_cos, nino34_lag1, nino34_lag2",62,0.05742,0.09185,0.05799,0.0624,-0.5998,-1.25869,-0.15867,-0.01007,-0.65681,0.33455,-0.08677,-0.14284,-0.00969,Southern Great Plains (southern_great_plains_basin_masked),basin,robust_negative
