region,target_spi,lead_months,climate_features,n_months,target_start,target_end,obs_mean,obs_std,clim_mean,raw_mean,iso_mean,clim_bias,raw_bias,iso_bias,bs_clim,bs_persistence,bs_raw,bs_iso,bss_persistence_vs_clim,bss_raw_vs_clim,bss_iso_vs_clim,corr_clim_obs,corr_raw_obs,corr_iso_obs,std_ratio_clim_obs,std_ratio_raw_obs,std_ratio_iso_obs,iso_beats_clim_months,iso_beats_clim_fraction,iso_gain_sum,robust_status,monthly_score_file,signal_flag
cvalley,3,3,all,59,2021-01-01,2025-11-01,0.23891428441936893,0.2916582432535507,0.15774999985649607,0.3348004816949152,0.22301707372881355,-0.08116428456287289,0.09588619727554631,-0.015897210690555375,0.08764639097130043,0.15797840110374425,0.10941793641836857,0.08448736234323197,-0.8024518677041002,-0.24840207572491102,0.036042883147383464,0.30353810654138746,0.06223741095177566,0.12015912259398615,0.0913016863860431,0.4889483597115269,0.18858581106693956,30,0.5084745762711864,0.1863826890560379,positive_uncertain,outputs/seasonal_spi3_lead3_monthly_scores.csv,positive_weak_tracking
cvalley,3,4,all,60,2021-01-01,2025-12-01,0.23494292566211603,0.2908267098454134,0.15646001707890325,0.28688776505,0.19019941833333334,-0.07848290858321277,0.05194483938788396,-0.04474350732878271,0.08635426087945136,0.16372722721515037,0.10110904516797853,0.08383861558882968,-0.895994772553377,-0.17086341934099258,0.029131686902322818,0.31784321731114884,0.15790826215838458,0.2015958361239211,0.09609037970685336,0.5920230522023513,0.11102146297115632,26,0.43333333333333335,0.15093871743730014,positive_uncertain,outputs/seasonal_spi3_lead4_monthly_scores.csv,positive_temporal_tracking
cvalley,3,5,all,61,2021-01-01,2026-01-01,0.23161675869427417,0.2895752327557941,0.15722843681841223,0.3116588060819672,0.18539744011475406,-0.07438832187586197,0.08004204738769301,-0.04621931857952009,0.08528414753474935,0.18249611231870527,0.10855698974051106,0.08658475103184159,-1.13985972298482,-0.2728859099667862,-0.01525023740856768,0.3041655726462056,0.09802515668173063,0.04629388961500752,0.09540053235242829,0.5753127792871403,0.14239461829563052,29,0.47540983606557374,-0.0793368133226278,negative_uncertain,outputs/seasonal_spi3_lead5_monthly_scores.csv,no_positive_signal
cvalley,3,6,all,62,2021-01-01,2026-02-01,0.22810608546354996,0.2885334517583078,0.15684097842270278,0.30608545951612914,0.21144808051612904,-0.07126510704084717,0.07797937405257911,-0.016658004947420892,0.08421154839669028,0.18242926159383566,0.13238193973336249,0.09329158719373742,-1.1663211883300981,-0.5720164544387529,-0.10782415203048346,0.30519461065324266,0.014908573371704594,-0.015683056935746436,0.09621958675111168,0.7341616463301566,0.32711656706833003,27,0.43548387096774194,-0.5629624054169242,negative_uncertain,outputs/seasonal_spi3_lead6_monthly_scores.csv,no_positive_signal
cvalley,6,6,all,62,2021-01-01,2026-02-01,0.2894982800819739,0.3399589703180973,0.16642123633842087,0.3445707310322581,0.2343361299077742,-0.12307704374355304,0.05507245095028415,-0.05516215017419974,0.1269486677442054,0.24744622026443555,0.15127135647911386,0.14092420943824013,-0.9491832774726403,-0.1915946749745916,-0.11008813201722356,0.27841602854676606,-0.05792707140583806,-0.05313407469550931,0.06655969187928418,0.47686638115820595,0.3894225492240175,33,0.532258064516129,-0.8664835850301547,negative_uncertain,outputs/seasonal_spi6_lead6_monthly_scores.csv,no_positive_signal
horn_of_africa_country_masked,3,3,nino34,59,2021-01-01,2025-11-01,0.12712272556149617,0.11239344177262377,0.16526412250833944,0.27724438799999995,0.07856551894067797,0.03814139694684328,0.1501216624385038,-0.0485572066208182,0.014177826185540102,0.027978300804340106,0.05476626572639301,0.014594143055846165,-0.9733843847567438,-2.8628111961373084,-0.029363942317945924,0.031728472276707005,0.17924795956076933,0.17998209946862664,0.12224140127564846,1.4376235457674305,0.14758359376883548,35,0.5932203389830508,-0.024562695348057804,negative_uncertain,outputs/seasonal/horn_of_africa_country_masked/seasonal_spi3_lead3_climate_nino34_monthly_scores.csv,no_positive_signal
horn_of_africa_country_masked,6,6,nino34,62,2021-01-01,2026-02-01,0.12667761567362681,0.11585324082961375,0.16893715315060556,0.3257102095161291,0.09435792217741937,0.0422595374769787,0.1990325938425022,-0.03231969349620748,0.015090910705544167,0.02059496220613178,0.05735001791600219,0.017004649884216256,-0.36472626523232354,-2.8003019854151465,-0.1268140283918724,0.09335720668189024,-0.0403713567696033,-0.08640258083042182,0.09144828291262282,0.5280020998151481,0.3569559650922611,35,0.5645161290322581,-0.11865182907766952,negative_uncertain,outputs/seasonal/horn_of_africa_country_masked/seasonal_spi6_lead6_climate_nino34_monthly_scores.csv,no_positive_signal
mediterranean_spain_basin_masked,3,3,all,59,2021-01-01,2025-11-01,0.16775300685114794,0.23408574676295435,0.15928850727947969,0.33885132711864413,0.1703093611864407,-0.008464499571668302,0.17109832026749605,0.0025563543352926975,0.05539912333687326,0.14268922953302973,0.08270782974206044,0.05437768471683199,-1.575658619457915,-0.49294473919970305,0.018437811981790064,-0.03992395088429055,0.19792336136901711,0.09735584626369403,0.06633313334790843,0.07833785306046255,0.05585433326458179,26,0.4406779661016949,0.06026487858243512,positive_uncertain,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi3_lead3_monthly_scores.csv,positive_calibration_shift
mediterranean_spain_basin_masked,3,3,nino34,59,2021-01-01,2025-11-01,0.16775300685114794,0.23408574676295435,0.15928850727947969,0.26509664010169487,0.16448358620338985,-0.008464499571668302,0.09734363325054694,-0.0032694206477581434,0.05539912333687326,0.14268922953302973,0.1114406126926966,0.05910320604672589,-1.575658619457915,-1.0115952379795607,-0.0668617567705665,-0.03992395088429055,-0.2337435220329195,-0.3129805178942839,0.06633313334790843,0.7230423936952634,0.10697594244814887,22,0.3728813559322034,-0.21854087988130483,robust_negative,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi3_lead3_climate_nino34_monthly_scores.csv,no_positive_signal
mediterranean_spain_basin_masked,6,6,all,62,2021-01-01,2026-02-01,0.12846239052310277,0.15013369753746195,0.1732193406468161,0.33950351516129024,0.15821393508064513,0.04475695012371332,0.21104112463818758,0.029751544557542402,0.025539909126157855,0.04928846507169107,0.06823592167133459,0.025722175252575,-0.9298606282514161,-1.6717370580401822,-0.007136522119824962,-0.16815446251622035,0.06879612368260518,0.01168008787600942,0.10108574276188853,0.30561467705548906,0.33111529850495053,33,0.532258064516129,-0.011300499837863052,negative_uncertain,outputs/seasonal/mediterranean_spain_basin_masked/seasonal_spi6_lead6_monthly_scores.csv,no_positive_signal
