scope,transition,model,n_months,n_eligible_median,n_eligible_min,n_eligible_max,bs_reference,bs_model,bss_vs_eligible_climatology,bss_ci_low,bss_ci_high,spearman,amplitude_ratio,claim_status,source_file
cvalley,onset,"all-pixel XGBoost isotonic, eligible score",63,6722.0,107,6816,0.06338520315005122,0.060097924732502084,0.05186192130310274,-0.04061728024468716,0.11752364671350561,0.39607921841674115,0.2406045551088407,positive_uncertain,outputs/transition_onset_eligible_monthly_scores.csv
cvalley,onset,eligible-only XGBoost isotonic,63,6722.0,107,6816,0.06338520315005122,0.05676853590339469,0.1043881997347702,0.024711354643421016,0.16715085871067908,0.40189384620591706,0.29173989744422457,robust_positive,outputs/transition_onset_eligible_monthly_scores.csv
cvalley_basin_masked,onset,"all-pixel XGBoost isotonic, eligible score",63,1900.0,25,1903,0.07594885710126925,0.07514354218253363,0.010603384296643426,-0.11863314492841469,0.08654890817763988,0.3890773606060553,0.27097124198177036,positive_uncertain,outputs/transition_cvalley_basin_masked_onset_eligible_monthly_scores.csv
cvalley_basin_masked,onset,eligible-only XGBoost isotonic,63,1900.0,25,1903,0.07594885710126925,0.07800385121462823,-0.02705760417986114,-0.18060054519099866,0.057921835215987164,0.34051288307515404,0.270618637411438,not_distinguishable_from_climatology,outputs/transition_cvalley_basin_masked_onset_eligible_monthly_scores.csv
mediterranean_spain_basin_masked,onset,"all-pixel XGBoost isotonic, eligible score",63,8623.0,1724,9057,0.04208306334505025,0.04747809264265046,-0.12819953845481558,-0.3640337354790455,0.020546212717211517,0.020543943039379862,0.260732372892184,not_distinguishable_from_climatology,outputs/transition_mediterranean_spain_basin_masked_onset_eligible_monthly_scores.csv
mediterranean_spain_basin_masked,onset,eligible-only XGBoost isotonic,63,8623.0,1724,9057,0.04208306334505025,0.043564631922390844,-0.0352058158217432,-0.12426767706376285,0.016459850967912804,0.013833711821344989,0.10817047726466697,not_distinguishable_from_climatology,outputs/transition_mediterranean_spain_basin_masked_onset_eligible_monthly_scores.csv
southern_great_plains_basin_masked,onset,"all-pixel XGBoost isotonic, eligible score",63,16848.0,3248,19424,0.06089043398789927,0.06620558946477165,-0.08729048437934694,-0.1555911827918983,-0.0261510002141763,0.01045323218654481,0.11729774992052056,robust_negative,outputs/transition_southern_great_plains_basin_masked_onset_eligible_monthly_scores.csv
southern_great_plains_basin_masked,onset,eligible-only XGBoost isotonic,63,16848.0,3248,19424,0.06089043398789927,0.06600143410225466,-0.08393765292215027,-0.1471349030022311,-0.015739727395353717,0.11271797710221097,0.008917987571351406,robust_negative,outputs/transition_southern_great_plains_basin_masked_onset_eligible_monthly_scores.csv
cvalley,termination,"all-pixel XGBoost isotonic, eligible score",51,378.0,1,6709,0.06872637960416039,0.16274818413317313,-1.368059907571809,-3.497568321619076,-0.37249283282312423,-0.0012350216241211753,1.0261084440588744,robust_negative,outputs/transition_termination_eligible_monthly_scores.csv
cvalley,termination,eligible-only XGBoost isotonic,51,378.0,1,6709,0.06872637960416039,0.07088998088270468,-0.031481380090234046,-0.28549326889667703,0.1784147354604809,0.15239485395239427,0.2170684441073053,not_distinguishable_from_climatology,outputs/transition_termination_eligible_monthly_scores.csv
