split,train_years,validation_years,test_years,n_test_months,n_train_rows,n_train_rows_fit,n_val_rows,n_test_rows,best_iteration,selected_calibration,validation_bs_none,validation_bs_isotonic,validation_bs_platt,reference,bs_model,bs_reference,bss,bss_ci_low,bss_ci_high,obs_dry_mean_train_pixels,obs_dry_mean_val_pixels,obs_dry_mean_test_pixels,test_minus_train_dry_mean,test_minus_val_dry_mean,pred_dry_mean_test_monthly,obs_dry_mean_test_monthly,prediction_bias_monthly,prediction_corr_monthly,prediction_amplitude_ratio
holdout_2005_2008,1991-2000,2001-2004,2005-2008,48,776964,776964,327144,327144,23,isotonic,0.08660552953626367,0.046058678551256615,0.049912813766202706,clim_train_monthly,0.08382032267025274,0.07695418911363455,-0.08922364897483748,-0.32208256628647625,0.12534748337923893,0.13497150447124964,0.12377118333211062,0.1486531924779302,0.01368168800668057,0.02488200914581959,0.12365124374628067,0.14864637060861075,-0.024995129521692572,-0.11222466716111001,0.21944713592529297
holdout_2005_2008,1991-2000,2001-2004,2005-2008,48,776964,776964,327144,327144,23,isotonic,0.08660552953626367,0.046058678551256615,0.049912813766202706,clim_expanding_prior,0.08382032267025274,0.07480305988024423,-0.12054671031431985,-0.3624977501568677,0.07111507535383825,0.13497150447124964,0.12377118333211062,0.1486531924779302,0.01368168800668057,0.02488200914581959,0.12365124374628067,0.14864637060861075,-0.024995129521692572,-0.11222466716111001,0.21944713592529297
holdout_2005_2008,1991-2000,2001-2004,2005-2008,48,776964,776964,327144,327144,23,isotonic,0.08660552953626367,0.046058678551256615,0.049912813766202706,clim_rolling_15yr_prior,0.08382032267025274,0.07509214421206654,-0.11623291024340832,-0.38060330136813125,0.07554746936587257,0.13497150447124964,0.12377118333211062,0.1486531924779302,0.01368168800668057,0.02488200914581959,0.12365124374628067,0.14864637060861075,-0.024995129521692572,-0.11222466716111001,0.21944713592529297
holdout_2005_2008,1991-2000,2001-2004,2005-2008,48,776964,776964,327144,327144,23,isotonic,0.08660552953626367,0.046058678551256615,0.049912813766202706,clim_rolling_30yr_prior,0.08382032267025274,0.07480305988024423,-0.12054671031431985,-0.3624977501568677,0.07111507535383825,0.13497150447124964,0.12377118333211062,0.1486531924779302,0.01368168800668057,0.02488200914581959,0.12365124374628067,0.14864637060861075,-0.024995129521692572,-0.11222466716111001,0.21944713592529297
holdout_2005_2008,1991-2000,2001-2004,2005-2008,48,776964,776964,327144,327144,23,isotonic,0.08660552953626367,0.046058678551256615,0.049912813766202706,clim_fixed_1991_2020,0.08382032267025274,0.07183542274926141,-0.16683830152742507,-0.3228732748650065,0.0013988060245704685,0.13497150447124964,0.12377118333211062,0.1486531924779302,0.01368168800668057,0.02488200914581959,0.12365124374628067,0.14864637060861075,-0.024995129521692572,-0.11222466716111001,0.21944713592529297
holdout_2009_2012,1991-2004,2005-2008,2009-2012,48,1104108,1104108,327144,327144,39,isotonic,0.1056109436816312,0.07015858605907972,0.07579587100376119,clim_train_monthly,0.048509470374242546,0.04833375566452358,-0.003635444986699765,-0.4549650000812159,0.16124246490168867,0.1316528817833038,0.1486531924779302,0.09982759885554984,-0.03182528292775397,-0.04882559362238037,0.1693839579820633,0.09982267655069443,0.06956127908365985,0.11754247764960096,0.26178377866744995
holdout_2009_2012,1991-2004,2005-2008,2009-2012,48,1104108,1104108,327144,327144,39,isotonic,0.1056109436816312,0.07015858605907972,0.07579587100376119,clim_expanding_prior,0.048509470374242546,0.0475460599746144,-0.020262675816724363,-0.440656468587736,0.12444411695516965,0.1316528817833038,0.1486531924779302,0.09982759885554984,-0.03182528292775397,-0.04882559362238037,0.1693839579820633,0.09982267655069443,0.06956127908365985,0.11754247764960096,0.26178377866744995
holdout_2009_2012,1991-2004,2005-2008,2009-2012,48,1104108,1104108,327144,327144,39,isotonic,0.1056109436816312,0.07015858605907972,0.07579587100376119,clim_rolling_15yr_prior,0.048509470374242546,0.048224555707547245,-0.005908082770593737,-0.38286057760493614,0.1377044832016087,0.1316528817833038,0.1486531924779302,0.09982759885554984,-0.03182528292775397,-0.04882559362238037,0.1693839579820633,0.09982267655069443,0.06956127908365985,0.11754247764960096,0.26178377866744995
holdout_2009_2012,1991-2004,2005-2008,2009-2012,48,1104108,1104108,327144,327144,39,isotonic,0.1056109436816312,0.07015858605907972,0.07579587100376119,clim_rolling_30yr_prior,0.048509470374242546,0.0475460599746144,-0.020262675816724363,-0.440656468587736,0.12444411695516965,0.1316528817833038,0.1486531924779302,0.09982759885554984,-0.03182528292775397,-0.04882559362238037,0.1693839579820633,0.09982267655069443,0.06956127908365985,0.11754247764960096,0.26178377866744995
holdout_2009_2012,1991-2004,2005-2008,2009-2012,48,1104108,1104108,327144,327144,39,isotonic,0.1056109436816312,0.07015858605907972,0.07579587100376119,clim_fixed_1991_2020,0.048509470374242546,0.04421546531067889,-0.09711545572102276,-0.4560731579630591,0.03663093686328458,0.1316528817833038,0.1486531924779302,0.09982759885554984,-0.03182528292775397,-0.04882559362238037,0.1693839579820633,0.09982267655069443,0.06956127908365985,0.11754247764960096,0.26178377866744995
